id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
17,"{'out_layer': (0.5, 128000.0, 256000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.91186,0.9336,0.9283,44,"tensor([nan, nan])","tensor([60.9309,  0.0000,  0.8803])","tensor([3.0847, 0.0000, 0.0383])","tensor([3.1084, 0.0000, 0.0397])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_17
103,"{'out_layer': (0.5, 96000.0, 96000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 96000.0, 192000.0, 1.0, -18)]}",100364571,50,0.8624,0.9054,0.9011,49,"tensor([nan, nan])","tensor([34.3367,  0.0000,  0.8324])","tensor([1.7522, 0.0000, 0.0549])","tensor([1.7690, 0.0000, 0.0524])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_103
1,"{'out_layer': (0.5, 24000.0, 24000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.91846,0.9447,0.9384,38,"tensor([nan, nan])","tensor([41.0994,  0.0000,  1.0953])","tensor([2.1949, 0.0000, 0.0790])","tensor([2.2513, 0.0000, 0.0777])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_1
11,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.91072,0.9373,0.9302,41,"tensor([nan, nan])","tensor([47.2933,  0.0000,  0.9185])","tensor([2.4434, 0.0000, 0.0360])","tensor([2.4790, 0.0000, 0.0347])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_11
75,"{'out_layer': (0.5, 16000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 64000.0, 64000.0, 1.0, -18)]}",100364571,50,0.88722,0.9114,0.9059,49,"tensor([nan, nan])","tensor([30.8310,  0.0000,  1.0498])","tensor([1.7535, 0.0000, 0.0663])","tensor([1.8273, 0.0000, 0.0708])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_75
14,"{'out_layer': (0.5, 128000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.91392,0.9357,0.9328,49,"tensor([nan, nan])","tensor([60.7103,  0.0000,  0.8839])","tensor([3.0719, 0.0000, 0.0342])","tensor([3.0976, 0.0000, 0.0360])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_14
28,"{'out_layer': (0.5, 48000.0, 96000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 48000.0, 1.0, -18)]}",100364571,50,0.90232,0.9323,0.9268,38,"tensor([nan, nan])","tensor([40.6379,  0.0000,  0.9355])","tensor([2.0719, 0.0000, 0.0388])","tensor([2.0932, 0.0000, 0.0355])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_28
42,"{'out_layer': (0.5, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.9172,0.9328,0.9245,45,"tensor([nan, nan])","tensor([41.1007,  0.0000,  1.0191])","tensor([2.1830, 0.0000, 0.0670])","tensor([2.2334, 0.0000, 0.0667])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_42
65,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -18)]}",100364571,50,0.87492,0.9177,0.9109,48,"tensor([nan, nan])","tensor([35.4150,  0.0000,  0.8768])","tensor([1.8221, 0.0000, 0.0378])","tensor([1.8393, 0.0000, 0.0402])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_65
19,"{'out_layer': (0.5, 24000.0, 24000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 48000.0, 1.0, -18)]}",100364571,50,0.90112,0.9321,0.9273,39,"tensor([nan, nan])","tensor([32.3015,  0.0000,  1.0323])","tensor([1.6703, 0.0000, 0.0587])","tensor([1.6962, 0.0000, 0.0573])",0,0,mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_19
