id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
4,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -1), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -9)]}",100364571,50,0.85098,0.8996,0.8908,17,"tensor([nan, nan])","tensor([0.2469, 0.0000, 0.0362])","tensor([0.0064, 0.0000, 0.0012])","tensor([0.0064, 0.0000, 0.0012])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_4
61,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, 1), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -14)]}",100364571,50,0.65998,0.783,0.7785,0,"tensor([nan, nan])","tensor([0.2513, 0.0000, 0.0339])","tensor([0.0085, 0.0000, 0.0011])","tensor([0.0083, 0.0000, 0.0011])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_61
112,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -3), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -19)]}",100364571,50,0.09856,0.0991,0.098,0,"tensor([nan, nan])","tensor([0.7770, 0.0000, 0.0000])","tensor([0.0199, 0.0000, 0.0000])","tensor([0.0199, 0.0000, 0.0000])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_112
13,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -3), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -10)]}",100364571,50,0.77792,0.866,0.8605,2,"tensor([nan, nan])","tensor([0.4914, 0.0000, 0.0277])","tensor([0.0130, 0.0000, 0.0011])","tensor([0.0130, 0.0000, 0.0011])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_13
37,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -1), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -12)]}",100364571,50,0.68248,0.8163,0.8152,0,"tensor([nan, nan])","tensor([0.2487, 0.0000, 0.0303])","tensor([0.0066, 0.0000, 0.0008])","tensor([0.0064, 0.0000, 0.0008])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_37
125,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -1), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -20)]}",100364571,50,0.09886,0.0991,0.098,0,"tensor([nan, nan])","tensor([0.7647, 0.0000, 0.0000])","tensor([0.0196, 0.0000, 0.0000])","tensor([0.0196, 0.0000, 0.0000])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_125
54,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, 5), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -13)]}",100364571,50,0.11722,0.1109,0.1127,5,"tensor([nan, nan])","tensor([0.0008, 0.0000, 0.0049])","tensor([3.2031e-05, 0.0000e+00, 3.4687e-04])","tensor([3.1816e-05, 0.0000e+00, 3.3438e-04])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_54
120,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, 5), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -19)]}",100364571,50,0.33528,0.3883,0.3769,2,"tensor([nan, nan])","tensor([0.3900, 0.0000, 0.0113])","tensor([0.0105, 0.0000, 0.0004])","tensor([0.0104, 0.0000, 0.0004])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_120
90,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -3), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -17)]}",100364571,50,0.0988,0.0991,0.098,0,"tensor([nan, nan])","tensor([0.7770, 0.0000, 0.0000])","tensor([0.0199, 0.0000, 0.0000])","tensor([0.0199, 0.0000, 0.0000])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_90
127,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, 1), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -20)]}",100364571,50,0.09844,0.0991,0.098,0,"tensor([nan, nan])","tensor([0.6420, 0.0000, 0.0000])","tensor([0.0164, 0.0000, 0.0000])","tensor([0.0166, 0.0000, 0.0000])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_127
78,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, -4), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -16)]}",100364571,50,0.16174,0.1902,0.1928,30,"tensor([nan, nan])","tensor([0.7808, 0.0000, 0.0042])","tensor([0.0200, 0.0000, 0.0002])","tensor([0.0200, 0.0000, 0.0002])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_78
53,"{'out_layer': (0.5, 2000.0, 4000.0, 1.0, 1, 4), 'hidden_layer': [(0.5, 500.0, 1000.0, 1.0, -13)]}",100364571,50,0.84326,0.8585,0.8595,14,"tensor([nan, nan])","tensor([0.0869, 0.0000, 0.0527])","tensor([0.0023, 0.0000, 0.0014])","tensor([0.0023, 0.0000, 0.0014])",0,0,grid_search_8bits_lr/mnist_biograd_int_transposed_loss_direct_100364571_exp_8bits_lr_53
