id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
91,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 5), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -6)]}",100364571,50,0.9324448529411765,0.926953125,0.92685546875,35,"tensor([0.0054, 0.0053])","tensor([0.4064, 0.0000, 0.0414])","tensor([0.0102, 0.0000, 0.0012])","tensor([0.0102, 0.0000, 0.0012])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_91
80,"{'out_layer': (0.5, 16000, 32000, 1.0, 31, 4), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -7)]}",100364571,50,0.8174752237851662,0.90810546875,0.8998046875,48,"tensor([0.0083, 0.0117])","tensor([0.6958, 0.0000, 0.0207])","tensor([0.0174, 0.0000, 0.0006])","tensor([0.0174, 0.0000, 0.0006])",[0.027976454840372228],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_80
99,"{'out_layer': (0.5, 16000, 32000, 1.0, 1, 5), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -7)]}",100364571,50,0.9133831521739131,0.92158203125,0.91962890625,32,"tensor([0.0068, 0.0067])","tensor([0.6064, 0.0000, 0.0259])","tensor([0.0152, 0.0000, 0.0009])","tensor([0.0152, 0.0000, 0.0008])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_99
51,"{'out_layer': (0.5, 32000, 32000, 1.0, 31, 5), 'hidden_layer': [(0.5, 16000, 32000, 1.0, -7)]}",100364571,50,0.843809942455243,0.90234375,0.89619140625,34,"tensor([0.0074, 0.0100])","tensor([0.5460, 0.0000, 0.0187])","tensor([0.0135, 0.0000, 0.0005])","tensor([0.0134, 0.0000, 0.0005])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_51
78,"{'out_layer': (0.5, 16000, 32000, 1.0, 31, 4), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -6)]}",100364571,50,0.909906489769821,0.914453125,0.90927734375,24,"tensor([0.0054, 0.0050])","tensor([0.5589, 0.0000, 0.0204])","tensor([0.0140, 0.0000, 0.0006])","tensor([0.0140, 0.0000, 0.0006])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_78
22,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -8)]}",100364571,50,0.8696851023017903,0.89267578125,0.88828125,39,"tensor([0.0109, 0.0104])","tensor([0.7270, 0.0000, 0.0473])","tensor([0.0182, 0.0000, 0.0012])","tensor([0.0182, 0.0000, 0.0012])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_22
3,"{'out_layer': (0.5, 3000, 64000, 1.0, 31, 5), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -7)]}",100364571,50,0.9029731457800512,0.9205078125,0.91328125,38,"tensor([0.0054, 0.0055])","tensor([0.6800, 0.0000, 0.0553])","tensor([0.0170, 0.0000, 0.0014])","tensor([0.0170, 0.0000, 0.0014])",[0.027976454840372228],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_3
33,"{'out_layer': (0.5, 32000, 32000, 1.0, 1, 5), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -7)]}",100364571,50,0.8900455562659847,0.9083984375,0.90771484375,19,"tensor([0.0075, 0.0085])","tensor([0.5495, 0.0000, 0.0189])","tensor([0.0138, 0.0000, 0.0005])","tensor([0.0138, 0.0000, 0.0005])",[nan],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_33
18,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -6)]}",100364571,50,0.9251318734015346,0.91748046875,0.91494140625,16,"tensor([0.0062, 0.0058])","tensor([0.3336, 0.0000, 0.0346])","tensor([0.0085, 0.0000, 0.0010])","tensor([0.0085, 0.0000, 0.0010])",[0.01978234059262607],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_18
68,"{'out_layer': (0.5, 32000, 32000, 1.0, 1, 4), 'hidden_layer': [(0.5, 16000, 32000, 1.0, -7)]}",100364571,50,0.8765185421994884,0.88994140625,0.88583984375,19,"tensor([0.0093, 0.0095])","tensor([0.6490, 0.0000, 0.0158])","tensor([0.0163, 0.0000, 0.0004])","tensor([0.0163, 0.0000, 0.0004])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_68
84,"{'out_layer': (0.5, 32000, 32000, 1.0, 31, 4), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -6)]}",100364571,50,0.9215553069053708,0.92099609375,0.9197265625,49,"tensor([0.0048, 0.0044])","tensor([0.6078, 0.0000, 0.0159])","tensor([0.0152, 0.0000, 0.0005])","tensor([0.0152, 0.0000, 0.0005])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_84
23,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 5), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -8)]}",100364571,50,0.8922034846547314,0.91376953125,0.90712890625,24,"tensor([0.0086, 0.0084])","tensor([0.6801, 0.0000, 0.0508])","tensor([0.0170, 0.0000, 0.0015])","tensor([0.0170, 0.0000, 0.0015])",[0.01978234059262607],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_23
85,"{'out_layer': (0.5, 32000, 32000, 1.0, 31, 5), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -6)]}",100364571,50,0.9220947890025576,0.9220703125,0.92109375,24,"tensor([0.0045, 0.0044])","tensor([0.5031, 0.0000, 0.0179])","tensor([0.0127, 0.0000, 0.0005])","tensor([0.0127, 0.0000, 0.0005])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_85
45,"{'out_layer': (0.5, 16000, 32000, 1.0, 31, 5), 'hidden_layer': [(0.5, 16000, 32000, 1.0, -7)]}",100364571,50,0.8859894501278772,0.9044921875,0.89951171875,29,"tensor([0.0067, 0.0066])","tensor([0.5811, 0.0000, 0.0265])","tensor([0.0147, 0.0000, 0.0009])","tensor([0.0147, 0.0000, 0.0009])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_45
39,"{'out_layer': (0.5, 3000, 64000, 1.0, 31, 5), 'hidden_layer': [(0.5, 16000, 32000, 1.0, -7)]}",100364571,50,0.8906649616368286,0.91640625,0.90986328125,43,"tensor([0.0058, 0.0063])","tensor([0.6781, 0.0000, 0.0574])","tensor([0.0170, 0.0000, 0.0015])","tensor([0.0170, 0.0000, 0.0015])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_39
65,"{'out_layer': (0.5, 16000, 32000, 1.0, 1, 5), 'hidden_layer': [(0.5, 16000, 32000, 1.0, -8)]}",100364571,50,0.849764226342711,0.89853515625,0.8927734375,17,"tensor([0.0103, 0.0118])","tensor([0.6141, 0.0000, 0.0266])","tensor([0.0156, 0.0000, 0.0009])","tensor([0.0156, 0.0000, 0.0009])",[nan],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_65
10,"{'out_layer': (0.5, 16000, 32000, 1.0, 31, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -8)]}",100364571,50,0.8231897378516624,0.8802734375,0.87626953125,11,"tensor([0.0106, 0.0106])","tensor([0.7178, 0.0000, 0.0223])","tensor([0.0180, 0.0000, 0.0007])","tensor([0.0180, 0.0000, 0.0007])",[0.0],[1.0],grid_search_th_lr/mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_10
