id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
78,"{'out_layer': (0.5, 16000, 32000, 1.0, 31, 4), 'hidden_layer': [(0.5, 32000, 32000, 1.0, -6)]}",100364571,50,0.91634,0.9363,0.9308,44,"tensor([0.0051, 0.0047])","tensor([0.5882, 0.0000, 0.0204])","tensor([0.0151, 0.0000, 0.0006])","tensor([0.0151, 0.0000, 0.0005])",[0.01978234059262607],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_78
22,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, 8)]}",100364571,50,0.85854,0.898,0.8912,44,"tensor([0.0117, 0.0112])","tensor([0.3607, 0.0000, 0.0378])","tensor([0.0092, 0.0000, 0.0014])","tensor([0.0092, 0.0000, 0.0014])",[0.01978234059262607],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_22
3,"{'out_layer': (0.5, 3000, 64000, 1.0, 31, 5), 'hidden_layer': [(0.5, 16000, 16000, 1.0, 7)]}",100364571,50,0.87416,0.9121,0.9058,38,"tensor([0.0074, 0.0072])","tensor([0.2830, 0.0000, 0.0500])","tensor([0.0072, 0.0000, 0.0015])","tensor([0.0072, 0.0000, 0.0014])",[nan],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_3
33,"{'out_layer': (0.5, 32000, 32000, 1.0, 1, 5), 'hidden_layer': [(0.5, 16000, 16000, 1.0, 7)]}",100364571,50,0.89634,0.9315,0.9208,38,"tensor([0.0081, 0.0079])","tensor([0.2582, 0.0000, 0.0159])","tensor([0.0066, 0.0000, 0.0008])","tensor([0.0066, 0.0000, 0.0008])",[0.0],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_33
18,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, -6)]}",100364571,50,0.93254,0.943,0.9372,47,"tensor([0.0057, 0.0053])","tensor([0.4553, 0.0000, 0.0358])","tensor([0.0117, 0.0000, 0.0011])","tensor([0.0117, 0.0000, 0.0010])",[0.0],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_18
68,"{'out_layer': (0.5, 32000, 32000, 1.0, 1, 4), 'hidden_layer': [(0.5, 16000, 32000, 1.0, 7)]}",100364571,50,0.86716,0.9019,0.8936,35,"tensor([0.0105, 0.0101])","tensor([0.3365, 0.0000, 0.0141])","tensor([0.0086, 0.0000, 0.0008])","tensor([0.0086, 0.0000, 0.0008])",[0.0],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_68
23,"{'out_layer': (0.5, 3000, 64000, 1.0, 1, 5), 'hidden_layer': [(0.5, 16000, 16000, 1.0, 8)]}",100364571,50,0.88648,0.9085,0.9013,48,"tensor([0.0091, 0.0090])","tensor([0.3528, 0.0000, 0.0522])","tensor([0.0090, 0.0000, 0.0015])","tensor([0.0090, 0.0000, 0.0015])",[nan],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_23
39,"{'out_layer': (0.5, 3000, 64000, 1.0, 31, 5), 'hidden_layer': [(0.5, 16000, 32000, 1.0, 7)]}",100364571,50,0.86866,0.9166,0.9021,34,"tensor([0.0077, 0.0076])","tensor([0.3415, 0.0000, 0.0509])","tensor([0.0087, 0.0000, 0.0014])","tensor([0.0087, 0.0000, 0.0014])",[0.0],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_39
10,"{'out_layer': (0.5, 16000, 32000, 1.0, 31, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, 8)]}",100364571,50,0.8255,0.8852,0.8771,47,"tensor([0.0109, 0.0105])","tensor([0.2654, 0.0000, 0.0168])","tensor([0.0068, 0.0000, 0.0008])","tensor([0.0068, 0.0000, 0.0008])",[0.0],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_10
2,"{'out_layer': (0.5, 3000, 64000, 1.0, 31, 4), 'hidden_layer': [(0.5, 16000, 16000, 1.0, 7)]}",100364571,50,0.83822,0.8843,0.8838,41,"tensor([0.0099, 0.0094])","tensor([0.2871, 0.0000, 0.0349])","tensor([0.0074, 0.0000, 0.0011])","tensor([0.0074, 0.0000, 0.0011])",[0.01978234059262607],[1.0],mnist_biograd_int_transposed_loss_final_100364571_exp_th_lr_2
