id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
53,0.98826,0.9724,0.9696,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.003,none,0,False,"tensor([ 0.3866, 11.8750])","tensor([ 0.3846, 12.1860])","tensor([ 0.3956, 12.2501])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_53,100364571,50
26,0.99698,0.9793,0.9783,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,False,"tensor([ 2.0100, 11.4130])","tensor([ 2.0069, 11.2930])","tensor([ 2.0251, 11.3442])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_26,100364571,50
23,0.99536,0.9795,0.9778,37,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.003,0.003,none,0,False,"tensor([ 2.4454, 10.9780])","tensor([ 2.4320, 10.6790])","tensor([ 2.4676, 10.7205])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_23,100364571,50
21,0.99494,0.9794,0.9783,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.003,none,0,False,"tensor([ 2.5069, 11.0107])","tensor([ 2.4888, 11.0890])","tensor([ 2.5331, 11.1295])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_21,100364571,50
6,0.98948,0.9779,0.9759,42,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[1.5, 1.5]",32,5,True,0.003,0.001,none,0,False,"tensor([ 6.2407, 10.4072])","tensor([ 6.2245, 10.3994])","tensor([ 6.2775, 10.4401])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_6,100364571,50
36,0.99696,0.9779,0.9752,40,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 0.7607, 11.5028])","tensor([ 0.7654, 11.5192])","tensor([ 0.7600, 11.5710])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_36,100364571,50
20,0.99824,0.9793,0.9784,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 1.0905, 11.3979])","tensor([ 1.0934, 11.5018])","tensor([ 1.0926, 11.5428])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_20,100364571,50
45,0.99608,0.9785,0.9772,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 1.8429, 11.4079])","tensor([ 1.8368, 11.5397])","tensor([ 1.8574, 11.6164])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_45,100364571,50
41,0.99446,0.9784,0.9766,47,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.0, 2.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 2.1377, 11.3023])","tensor([ 2.1231, 11.3765])","tensor([ 2.1568, 11.4584])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_41,100364571,50
33,0.99284,0.9773,0.9751,38,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[0.5, 1.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 2.2837, 10.9326])","tensor([ 2.2699, 10.5715])","tensor([ 2.3059, 10.5882])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_33,100364571,50
14,0.99256,0.979,0.9759,35,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[2.0, 4.0]",32,5,True,0.003,0.001,none,0,False,"tensor([ 5.2287, 10.6796])","tensor([ 5.2212, 10.7284])","tensor([ 5.2537, 10.7468])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_14,100364571,50
10,0.99242,0.9786,0.9766,49,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,False,"tensor([ 6.5399, 10.5164])","tensor([ 6.5243, 10.3058])","tensor([ 6.5798, 10.3557])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_10,100364571,50
54,0.98924,0.9753,0.9741,45,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.003,0.001,none,0,False,"tensor([ 0.5226, 11.3699])","tensor([ 0.5156, 11.3051])","tensor([ 0.5338, 11.3657])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_54,100364571,50
37,0.9953,0.9784,0.9768,44,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.003,none,0,False,"tensor([ 2.0988, 11.1782])","tensor([ 2.0826, 11.2012])","tensor([ 2.1184, 11.2750])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_37,100364571,50
13,0.98976,0.9788,0.9762,49,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,False,"tensor([ 6.1635, 10.3880])","tensor([ 6.1587, 10.2102])","tensor([ 6.1947, 10.2404])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_13,100364571,50
27,0.99332,0.9786,0.9769,48,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.0, 2.0]",32,5,True,0.003,0.003,none,0,False,"tensor([ 3.5740, 10.7821])","tensor([ 3.5399, 10.8984])","tensor([ 3.6057, 11.0086])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_27,100364571,50
