id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
2,0.98968,0.9782,0.9785,40,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 5.1837, 10.5676])","tensor([ 5.1341, 10.4172])","tensor([ 5.2531, 10.4009])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_210342476_exp_id_2,210342476,50
5,0.78598,0.7858,0.7771,46,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([0.7389, 7.6544])","tensor([0.7597, 7.9297])","tensor([0.7543, 7.9400])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_431267089_exp_id_5,431267089,50
3,0.87408,0.8747,0.8764,33,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([8.9905, 8.1348])","tensor([8.9816, 8.6086])","tensor([9.1271, 8.7073])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_712492346_exp_id_3,712492346,50
4,0.86138,0.8674,0.8598,12,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([3.7139, 8.5673])","tensor([3.7258, 8.8813])","tensor([3.8001, 8.7775])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_642731685_exp_id_4,642731685,50
7,0.68372,0.6811,0.6901,31,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([6.0540, 5.9999])","tensor([6.0410, 6.3627])","tensor([6.1508, 6.5208])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_301420567_exp_id_7,301420567,50
6,0.49886,0.5041,0.5011,49,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([11.2887,  3.5238])","tensor([11.2072,  3.7607])","tensor([11.3179,  3.7243])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_613427981_exp_id_6,613427981,50
1,0.79338,0.7855,0.7877,44,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([1.7396, 6.1313])","tensor([1.7236, 6.1300])","tensor([1.7371, 6.2366])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_702546693_exp_id_1,702546693,50
0,0.99824,0.9793,0.9784,48,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 1.0905, 11.3979])","tensor([ 1.0934, 11.5018])","tensor([ 1.0926, 11.5428])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_0,100364571,50
8,0.99498,0.9748,0.9735,48,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 0.4685, 12.2721])","tensor([ 0.4780, 12.1396])","tensor([ 0.4642, 12.0895])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_980342676_exp_id_8,980342676,50
9,0.66004,0.6811,0.6738,17,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([3.9899, 5.6141])","tensor([4.0432, 6.4104])","tensor([4.1222, 6.2721])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_416302576_exp_id_9,416302576,50
