id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
6,0.99636,0.9798,0.9771,39,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 1.1645, 14.6181])","tensor([ 1.1730, 14.7574])","tensor([ 1.1662, 14.6698])","tensor([0.1102, 0.1490])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_613427981_exp_id_6,613427981,50
4,0.99428,0.9793,0.9802,36,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.7169, 13.2436])","tensor([ 2.6967, 12.8265])","tensor([ 2.7426, 12.8540])","tensor([0.1046, 0.1335])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_642731685_exp_id_4,642731685,50
8,0.99318,0.9793,0.9772,30,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.5888, 13.4141])","tensor([ 2.5802, 13.2039])","tensor([ 2.6129, 13.2024])","tensor([0.1309, 0.1651])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_980342676_exp_id_8,980342676,50
3,0.89166,0.8802,0.8804,46,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([7.1191, 9.5748])","tensor([7.1070, 9.8310])","tensor([7.2589, 9.8333])","tensor([0.7307, 1.0325])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_712492346_exp_id_3,712492346,50
1,0.99488,0.9797,0.9759,39,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.0494, 13.8653])","tensor([ 2.0438, 13.4583])","tensor([ 2.0679, 13.4616])","tensor([0.1059, 0.1386])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_702546693_exp_id_1,702546693,50
9,0.87154,0.8711,0.8596,8,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.4731, 11.3579])","tensor([ 2.4702, 10.7797])","tensor([ 2.4872, 10.6452])","tensor([0.8711, 1.2224])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_416302576_exp_id_9,416302576,50
0,0.99684,0.9809,0.9774,47,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 2.0494, 13.5957])","tensor([ 2.0451, 13.9771])","tensor([ 2.0662, 13.9938])","tensor([0.0863, 0.1148])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_0,100364571,50
2,0.99466,0.9807,0.9778,36,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 3.7747, 12.3066])","tensor([ 3.7711, 12.0707])","tensor([ 3.8102, 12.0939])","tensor([0.0869, 0.1105])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_210342476_exp_id_2,210342476,50
7,0.99428,0.9795,0.9764,48,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 3.5682, 12.6402])","tensor([ 3.5445, 12.4680])","tensor([ 3.6077, 12.4654])","tensor([0.1106, 0.1436])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_301420567_exp_id_7,301420567,50
5,0.98526,0.9771,0.9773,46,"('random', (-1, 2))",32,8,8,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,False,"tensor([ 4.0668, 11.5494])","tensor([ 4.0482, 11.6307])","tensor([ 4.1058, 11.6218])","tensor([0.1736, 0.2176])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_feedback_431267089_exp_id_5,431267089,50
