id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
53,0.9834,0.9689,0.9651,34,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.003,none,0,True,"tensor([ 0.2817, 11.8277])","tensor([ 0.2799, 11.9115])","tensor([ 0.2875, 11.9485])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_53,100364571,50
26,0.99356,0.9795,0.9764,18,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,True,"tensor([ 1.7218, 11.2283])","tensor([ 1.7163, 11.4704])","tensor([ 1.7269, 11.5023])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_26,100364571,50
23,0.9935,0.9788,0.9754,28,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.003,0.003,none,0,True,"tensor([ 1.9758, 10.7234])","tensor([ 1.9688, 10.8967])","tensor([ 1.9888, 10.9649])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_23,100364571,50
21,0.99384,0.9788,0.9766,33,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.003,none,0,True,"tensor([ 1.8006, 10.7989])","tensor([ 1.7893, 10.7769])","tensor([ 1.8066, 10.8949])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_21,100364571,50
6,0.98894,0.9777,0.9776,44,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[1.5, 1.5]",32,5,True,0.003,0.001,none,0,True,"tensor([ 5.7536, 10.2986])","tensor([ 5.7238, 10.6259])","tensor([ 5.7752, 10.7216])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_6,100364571,50
36,0.9947,0.9768,0.9715,22,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,True,"tensor([ 0.5947, 11.4051])","tensor([ 0.5967, 11.5433])","tensor([ 0.5905, 11.5972])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_36,100364571,50
20,0.99712,0.9797,0.9781,47,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.5, 1.5]",32,5,True,0.001,0.001,none,0,True,"tensor([ 1.0342, 11.1191])","tensor([ 1.0345, 11.0797])","tensor([ 1.0318, 11.1657])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_20,100364571,50
45,0.9912,0.9776,0.9774,19,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,True,"tensor([ 1.7101, 10.9962])","tensor([ 1.6990, 11.0048])","tensor([ 1.7113, 11.0813])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_45,100364571,50
41,0.99054,0.9764,0.9757,25,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.0, 2.0]",32,5,True,0.001,0.003,none,0,True,"tensor([ 1.8309, 10.7805])","tensor([ 1.8112, 10.3358])","tensor([ 1.8373, 10.4192])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_41,100364571,50
33,0.99262,0.9773,0.9755,40,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[0.5, 1.0]",32,5,True,0.001,0.003,none,0,True,"tensor([ 1.6743, 11.1247])","tensor([ 1.6628, 10.9536])","tensor([ 1.6808, 10.9991])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_33,100364571,50
14,0.99762,0.9805,0.9768,44,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[2.0, 4.0]",32,5,True,0.003,0.001,none,0,True,"tensor([ 2.3062, 11.1700])","tensor([ 2.3111, 11.1452])","tensor([ 2.2974, 11.2045])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_14,100364571,50
10,0.99042,0.9784,0.9749,42,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,True,"tensor([ 5.3555, 10.5708])","tensor([ 5.3378, 10.7681])","tensor([ 5.3699, 10.8704])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_10,100364571,50
54,0.98802,0.973,0.9726,44,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.003,0.001,none,0,True,"tensor([ 0.4144, 11.6389])","tensor([ 0.4093, 11.8583])","tensor([ 0.4234, 12.0197])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_54,100364571,50
37,0.9942,0.9784,0.9754,35,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.5, 1.5]",32,5,True,0.001,0.003,none,0,True,"tensor([ 1.4625, 10.8278])","tensor([ 1.4539, 10.7444])","tensor([ 1.4632, 10.8597])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_37,100364571,50
13,0.98396,0.9768,0.9738,29,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[2.0, 4.0]",32,5,True,0.001,0.003,none,0,True,"tensor([ 5.7308, 10.0168])","tensor([ 5.7742, 10.3696])","tensor([ 5.8041, 10.4514])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_13,100364571,50
27,0.99066,0.978,0.9755,32,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[1.0, 2.0]",32,5,True,0.003,0.003,none,0,True,"tensor([ 2.9280, 10.5304])","tensor([ 2.9048, 10.7336])","tensor([ 2.9517, 10.8438])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_27,100364571,50
63,0.98872,0.9745,0.9733,33,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[2.0, 4.0]",32,5,True,0.003,0.003,none,0,True,"tensor([ 0.4285, 11.3108])","tensor([ 0.4247, 11.3777])","tensor([ 0.4379, 11.4108])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_63,100364571,50
42,0.99698,0.9782,0.9763,46,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.0, 2.0]",32,5,True,0.003,0.001,none,0,True,"tensor([ 1.1016, 11.4302])","tensor([ 1.0987, 11.2305])","tensor([ 1.0995, 11.2889])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_42,100364571,50
28,0.99726,0.9789,0.9761,40,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[2.0, 4.0]",32,5,True,0.001,0.001,none,0,True,"tensor([ 0.7991, 11.4877])","tensor([ 0.7999, 11.5038])","tensor([ 0.7943, 11.5816])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_28,100364571,50
51,0.98944,0.9727,0.9713,42,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[0.5, 1.0]",32,5,True,0.003,0.003,none,0,True,"tensor([ 0.3287, 11.7053])","tensor([ 0.3258, 11.5073])","tensor([ 0.3351, 11.4757])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_51,100364571,50
19,0.99084,0.9791,0.9749,36,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 0.5]","[0.5, 1.0]",32,5,True,0.003,0.003,none,0,True,"tensor([ 2.9594, 10.5316])","tensor([ 2.9423, 10.8222])","tensor([ 2.9856, 10.9239])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_19,100364571,50
55,0.98892,0.9743,0.9729,33,"('random', (-1, 2))",1,16,16,8,16,0.5,"[1.0, 1.0]","[1.5, 1.5]",32,5,True,0.003,0.003,none,0,True,"tensor([ 0.3832, 11.2326])","tensor([ 0.3795, 11.2093])","tensor([ 0.3913, 11.2491])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_55,100364571,50
1,0.99314,0.9781,0.9733,46,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.3, 0.6]","[0.5, 1.0]",32,5,True,0.001,0.003,none,0,True,"tensor([ 1.9600, 10.6186])","tensor([ 1.9623, 10.7019])","tensor([ 1.9560, 10.7051])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_1,100364571,50
40,0.99646,0.9789,0.9748,47,"('random', (-1, 2))",1,16,16,8,16,0.5,"[0.5, 1.0]","[1.0, 2.0]",32,5,True,0.001,0.001,none,0,True,"tensor([ 1.2715, 11.3609])","tensor([ 1.2669, 11.4266])","tensor([ 1.2718, 11.5023])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_float_transposed_loss_direct_100364571_exp_id_40,100364571,50
