id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
68,0.89802,0.9113,0.9086,7,"('random', (-1, 2))",32,16,16,8,16,0.5,"[500.0, 1000.0]","[500.0, 500.0]",32,5,True,0.00390625,0.00390625,none,512,False,"tensor([23.9415, 12.6978])","tensor([23.6675, 12.3643])","tensor([24.0483, 12.2162])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_68,100364571,50
153,0.8185,0.8494,0.8333,46,"('random', (-1, 2))",128,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,3.0517578125e-05,0.0625,none,512,False,"tensor([ 3.2574, 30.0368])","tensor([ 3.2189, 28.7873])","tensor([ 3.2735, 29.1124])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_153,100364571,50
58,0.93524,0.95,0.9491,9,"('random', (-1, 2))",32,16,16,8,16,0.5,"[500.0, 1000.0]","[500.0, 500.0]",32,5,True,0.00390625,1.0,none,2048,False,"tensor([ 1.1250, 11.6906])","tensor([ 1.1348, 11.4344])","tensor([ 1.1404, 11.6009])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_58,100364571,50
113,0.71378,0.7887,0.7734,41,"('random', (-1, 2))",128,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,0.00390625,1.0,none,2048,False,"tensor([ 7.2490, 33.1177])","tensor([ 7.2196, 29.3695])","tensor([ 7.3267, 29.7497])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_113,100364571,50
4,0.8881,0.8899,0.8861,20,"('random', (-1, 2))",32,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 250.0]",32,5,True,0.00390625,1.0,none,2048,False,"tensor([1.6994, 9.7406])","tensor([1.7353, 9.5232])","tensor([1.7407, 9.5844])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_4,100364571,50
69,0.46722,0.4903,0.4718,16,"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[500.0, 500.0]",32,5,True,0.00390625,0.00390625,none,512,False,"tensor([30.9364, 46.4603])","tensor([30.9340, 45.0484])","tensor([31.0801, 45.1654])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_69,100364571,50
5,0.09864,0.0991,0.098,0,"('random', (-1, 2))",128,16,16,8,16,0.5,"[250.0, 500.0]","[250.0, 250.0]",32,5,True,0.00390625,1.0,none,2048,False,"tensor([23.9361, 91.4759])","tensor([24.3171, 91.2142])","tensor([24.4395, 91.2831])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_5,100364571,50
160,0.87076,0.8898,0.8838,37,"('random', (-1, 2))",32,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,3.0517578125e-05,0.00390625,none,2048,False,"tensor([14.2167, 13.1055])","tensor([14.1719, 13.0443])","tensor([14.3776, 12.9577])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_160,100364571,50
130,0.82122,0.9157,0.9115,0,"('random', (-1, 2))",32,16,16,8,16,0.5,"[1000.0, 2000.0]","[1000.0, 1000.0]",32,5,True,0.000244140625,1.0,none,2048,False,"tensor([ 1.2480, 12.0791])","tensor([ 1.4045, 12.4606])","tensor([ 1.4381, 12.5186])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_130,100364571,50
65,0.52578,0.5403,0.544,30,"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[500.0, 500.0]",32,5,True,0.00390625,0.0625,none,2048,False,"tensor([25.0596, 45.2245])","tensor([25.0637, 42.9310])","tensor([25.2036, 43.3599])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_16_16_8_transposed_loss_direct_100364571_exp_id_65,100364571,50
