id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
16,0.95876,0.9561,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[0.6, 1.2]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([22.9409, 14.6405])","tensor([22.8496, 14.7050])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_16,100364571,50
27,0.97784,0.9687,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 2.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([25.4737, 15.6163])","tensor([25.5026, 15.8373])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_27,100364571,50
58,0.97144,0.965,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[1.0, 2.0]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([34.8134, 13.0335])","tensor([34.7848, 13.0002])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_58,100364571,50
8,0.9576,0.9558,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 2.0]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([31.6747, 12.7367])","tensor([31.6160, 12.9065])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_8,100364571,50
2,0.97004,0.9626,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[0.6, 1.2]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([32.2131, 15.0839])","tensor([32.1895, 15.0078])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_2,100364571,50
24,0.96218,0.9588,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 2.0]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([26.0427, 12.6511])","tensor([25.9588, 12.6887])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_24,100364571,50
4,0.95844,0.9549,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 1.0]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([31.2638, 16.4115])","tensor([31.2047, 16.3173])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_4,100364571,50
21,0.96448,0.9604,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([22.1053, 15.3714])","tensor([21.9495, 15.0289])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_21,100364571,50
45,0.95042,0.9512,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[0.3, 0.6]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([17.3250, 16.9218])","tensor([17.2377, 16.8329])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_45,100364571,50
1,0.95748,0.9547,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[0.6, 1.2]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([23.8730, 18.1851])","tensor([23.8106, 18.2107])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_1,100364571,50
