id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
24,0.96056,0.9567,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[2.0, 4.0]","[1.0, 2.0]",0.003,0,0.003,none,0.0,1.0,1.0,0,"tensor([39.8632, 25.7417])","tensor([39.8648, 25.4393])","tensor([0.5245, 0.6333])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_24,100364571,50
8,0.96458,0.9596,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[4.0, 6.0]",0.003,0,0.003,none,0.0,1.0,1.0,0,"tensor([54.3087, 27.2124])","tensor([54.2444, 26.4667])","tensor([0.5079, 0.6127])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_8,100364571,50
9,0.96458,0.9596,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[4.0, 6.0]",0.003,0,0.003,none,0.0001,1.0,1.0,0,"tensor([54.3087, 27.2124])","tensor([54.2444, 26.4667])","tensor([0.5079, 0.6127])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_9,100364571,50
57,0.95482,0.9545,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[4.0, 6.0]","[4.0, 6.0]",0.003,0,0.003,none,0.0001,1.0,1.0,0,"tensor([50.0198, 27.3870])","tensor([49.8565, 26.5382])","tensor([0.6545, 0.8021])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_57,100364571,50
50,0.95964,0.9569,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[4.0, 6.0]","[1.0, 2.0]",0.003,0,0.03,none,0.0,1.0,1.0,0,"tensor([26.9395, 24.9219])","tensor([27.0226, 24.4601])","tensor([0.4652, 0.5720])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_50,100364571,50
15,0.97434,0.9647,33,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[4.0, 6.0]",0.03,0,0.03,none,0.0001,1.0,1.0,0,"tensor([35.3608, 21.1057])","tensor([35.3697, 21.2414])","tensor([0.3535, 0.4370])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_15,100364571,50
48,0.9519,0.9529,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[4.0, 6.0]","[1.0, 2.0]",0.003,0,0.003,none,0.0,1.0,1.0,0,"tensor([35.6329, 25.6912])","tensor([35.6207, 25.3195])","tensor([0.6471, 0.8132])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_48,100364571,50
2,0.96938,0.9622,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.003,0,0.03,none,0.0,1.0,1.0,0,"tensor([30.1966, 20.0933])","tensor([30.1159, 19.3175])","tensor([0.3377, 0.4126])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_2,100364571,50
47,0.98064,0.9676,45,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[2.0, 4.0]","[10.0, 10.0]",0.03,0,0.03,none,0.0001,1.0,1.0,0,"tensor([44.8278, 24.0451])","tensor([44.6076, 23.5299])","tensor([0.2787, 0.3456])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_47,100364571,50
66,0.97422,0.9652,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[4.0, 6.0]","[10.0, 10.0]",0.003,0,0.03,none,0.0,1.0,1.0,0,"tensor([43.3200, 25.3583])","tensor([43.2941, 24.8534])","tensor([0.3469, 0.4228])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_feedback_100364571_exp_id_66,100364571,50
