id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
107,0.92334,0.9458,49,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 3200.0]",3.814697265625e-06,0,0.03125,none,2048,1.0,1.0,0,"tensor([41.7556,  5.0431])","tensor([41.5731,  5.6590])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_107,100364571,50
3,0.95838,0.9599,31,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 2000.0]","[1600.0, 1600.0]",0.000244140625,0,0.25,none,128,1.0,1.0,0,"tensor([28.8828,  5.1649])","tensor([28.5601,  5.0761])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_3,100364571,50
28,0.97916,0.9702,36,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 2000.0]","[1600.0, 3200.0]",0.000244140625,0,2.0,none,512,1.0,1.0,0,"tensor([7.6375, 5.0028])","tensor([7.3287, 4.7364])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_28,100364571,50
96,0.96354,0.9644,49,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 3200.0]",3.0517578125e-05,0,0.03125,none,128,1.0,1.0,0,"tensor([32.1469,  5.0781])","tensor([31.7834,  5.1972])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_96,100364571,50
74,0.93978,0.9454,49,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",3.814697265625e-06,0,2.0,none,2048,1.0,1.0,0,"tensor([24.3556,  5.1100])","tensor([23.7771,  5.1541])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_74,100364571,50
67,0.95332,0.9591,47,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",3.0517578125e-05,0,0.25,none,512,1.0,1.0,0,"tensor([35.8333,  5.1717])","tensor([35.5324,  5.4546])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_67,100364571,50
30,0.96874,0.9687,13,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 2000.0]","[1600.0, 3200.0]",0.000244140625,0,0.25,none,128,1.0,1.0,0,"tensor([20.9106,  5.0283])","tensor([20.4067,  5.3119])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_30,100364571,50
7,0.94116,0.9493,19,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 2000.0]","[1600.0, 1600.0]",0.000244140625,0,0.03125,none,512,1.0,1.0,0,"tensor([24.6106,  5.0833])","tensor([24.7263,  5.4772])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_7,100364571,50
70,0.95852,0.9553,13,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",3.0517578125e-05,0,0.03125,none,512,1.0,1.0,0,"tensor([22.8890,  5.0467])","tensor([22.8857,  5.3254])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_70,100364571,50
21,0.9266,0.9369,35,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 2000.0]","[1600.0, 1600.0]",3.814697265625e-06,0,0.25,none,128,1.0,1.0,0,"tensor([48.0897,  5.1506])","tensor([48.4342,  5.3101])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_21,100364571,50
