id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
4,0.98906,0.9674,0.966,49,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.3]","[0.3, 0.3]",0.003,0.001,none,0,False,"tensor([23.2514, 13.2739])","tensor([23.3429, 13.3708])","tensor([23.8265, 13.5987])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_4,100364571,50
52,0.9802,0.9659,0.9623,48,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.6]","[0.3, 0.6]",0.003,0.001,none,0,False,"tensor([24.7988, 15.4139])","tensor([24.7436, 15.4688])","tensor([25.1069, 15.7470])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_52,100364571,50
109,0.99368,0.9729,0.9732,45,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.3]",0.003,0.001,none,0,True,"tensor([20.4267, 18.4082])","tensor([20.1207, 18.0931])","tensor([20.2066, 18.5332])","tensor([0.1284, 0.1577])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_109,100364571,50
63,0.99286,0.9701,0.9688,48,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.6]",0.003,0.003,none,0,True,"tensor([ 7.5628, 12.9233])","tensor([ 7.5611, 12.7872])","tensor([ 7.5201, 12.8852])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_63,100364571,50
74,0.99678,0.975,0.9723,42,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.3]",0.001,0.003,none,0,False,"tensor([18.4970, 12.6013])","tensor([18.4901, 12.4458])","tensor([18.6467, 12.5705])","tensor([0.0801, 0.0991])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_74,100364571,50
72,0.99594,0.9761,0.9744,46,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.3]",0.001,0.001,none,0,False,"tensor([22.5799, 14.9553])","tensor([22.5548, 14.6607])","tensor([22.6524, 14.8272])","tensor([0.1010, 0.1254])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_72,100364571,50
61,0.99376,0.9701,0.9691,47,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.6]",0.003,0.001,none,0,True,"tensor([ 9.0792, 15.0934])","tensor([ 9.1366, 14.9071])","tensor([ 9.0460, 15.0365])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_61,100364571,50
102,0.9814,0.9715,0.9684,42,[100],"('normal', None)",128,4,4,4,16,0.5,"[0.3, 0.6]","[0.3, 0.3]",0.003,0.003,none,0,False,"tensor([28.9388, 17.9877])","tensor([28.9095, 17.6413])","tensor([29.0286, 17.7978])","tensor([0.2681, 0.3064])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_102,100364571,50
42,0.96696,0.9551,0.9523,44,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.3]",0.001,0.003,none,0,False,"tensor([48.7341,  8.4031])","tensor([48.6096,  8.8999])","tensor([48.8726,  8.8502])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_42,100364571,50
106,0.99652,0.9737,0.9739,44,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.6]","[0.3, 0.3]",0.001,0.003,none,0,False,"tensor([21.7171, 12.4326])","tensor([21.6277, 12.3538])","tensor([21.7828, 12.4269])","tensor([0.0789, 0.0978])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_106,100364571,50
