id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
14,0.99408,0.977,0.9743,44,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,True,"tensor([25.6118, 16.1481])","tensor([25.5797, 15.8685])","tensor([25.8686, 16.0549])","tensor([0.1337, 0.1595])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_712492346_exp_id_14,712492346,50
18,0.9926,0.9751,0.972,37,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,True,"tensor([28.7821, 15.9156])","tensor([28.8340, 15.8584])","tensor([29.0787, 16.0293])","tensor([0.1363, 0.1613])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_642731685_exp_id_18,642731685,50
2,0.9929,0.9772,0.9747,36,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,True,"tensor([24.3926, 16.5914])","tensor([24.3847, 16.2078])","tensor([24.6109, 16.4240])","tensor([0.1513, 0.1776])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_2,100364571,50
9,0.9952,0.973,0.9736,47,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,False,"tensor([10.9798, 13.4745])","tensor([11.0701, 13.6897])","tensor([11.0682, 13.8140])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_210342476_exp_id_9,210342476,50
15,0.99538,0.9751,0.9717,39,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,False,"tensor([24.5559, 13.6286])","tensor([24.6108, 13.4435])","tensor([24.7808, 13.5659])","tensor([0.1024, 0.1215])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_712492346_exp_id_15,712492346,50
28,0.991,0.9725,0.9721,35,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,True,"tensor([ 9.4638, 13.4713])","tensor([ 9.4550, 13.3123])","tensor([ 9.4785, 13.5149])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_301420567_exp_id_28,301420567,50
3,0.99722,0.9768,0.9739,47,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,False,"tensor([23.5624, 13.2735])","tensor([23.5087, 13.0092])","tensor([23.6572, 13.1861])","tensor([0.0800, 0.0961])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_100364571_exp_id_3,100364571,50
29,0.99464,0.9705,0.9715,46,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,False,"tensor([ 9.9294, 13.3438])","tensor([ 9.9005, 13.2525])","tensor([ 9.8736, 13.4367])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_301420567_exp_id_29,301420567,50
25,0.99324,0.9717,0.9674,33,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,False,"tensor([11.6501, 14.3276])","tensor([11.8371, 14.2024])","tensor([11.8464, 14.4388])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_direct_613427981_exp_id_25,613427981,50
39,0.99748,0.9749,0.9708,47,[100],"('normal', None)",128,4,4,4,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.001,none,0,False,"tensor([26.5381, 13.1817])","tensor([26.5669, 13.0738])","tensor([26.7121, 13.1678])","tensor([0.0782, 0.0947])",128,256,0,0,mnist_biograd_snn_1_layers_float_transposed_loss_feedback_416302576_exp_id_39,416302576,50
