id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
107,0.09872,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[2.0, 2.0]","[2.0, 2.0]",0.00390625,0.0078125,none,2,False,"tensor([39.4473,  0.0000])","tensor([37.9432,  0.0000])","tensor([37.9195,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_107,100364571,50
13,0.13484,0.204,0.2097,1,[100],"('normal', None)",128,4,4,4,16,0.5,"[8.0, 8.0]","[8.0, 8.0]",0.00048828125,2.0,none,1,False,"tensor([28.2598,  0.3870])","tensor([26.1973,  0.8708])","tensor([26.0482,  0.9484])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_13,100364571,50
88,0.0987,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[4.0, 4.0]","[4.0, 4.0]",1.52587890625e-05,0.25,none,1,False,"tensor([84.6340,  0.0000])","tensor([84.6282,  0.0000])","tensor([84.6180,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_88,100364571,50
104,0.09872,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[2.0, 2.0]","[2.0, 2.0]",0.00390625,0.03125,none,2,False,"tensor([39.1938,  0.0000])","tensor([37.7051,  0.0000])","tensor([37.7021,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_104,100364571,50
7,0.3128,0.3932,0.3871,27,[100],"('normal', None)",128,4,4,4,16,0.5,"[8.0, 8.0]","[8.0, 8.0]",0.00390625,0.03125,none,1,False,"tensor([7.9801, 2.8797])","tensor([8.0521, 4.4545])","tensor([8.0736, 4.4724])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_7,100364571,50
1,0.29318,0.462,0.4514,5,[100],"('normal', None)",128,4,4,4,16,0.5,"[8.0, 8.0]","[8.0, 8.0]",0.00390625,2.0,none,1,False,"tensor([9.3817, 4.1719])","tensor([7.7439, 5.1251])","tensor([7.7532, 5.1886])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_1,100364571,50
35,0.09864,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[8.0, 8.0]","[8.0, 8.0]",6.103515625e-05,0.0078125,none,2,False,"tensor([60.4774,  0.0000])","tensor([60.5540,  0.0000])","tensor([60.5480,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_35,100364571,50
90,0.0987,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[4.0, 4.0]","[4.0, 4.0]",1.52587890625e-05,0.03125,none,0,False,"tensor([48.1984,  0.0000])","tensor([48.2018,  0.0000])","tensor([48.1882,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_90,100364571,50
18,0.09864,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[8.0, 8.0]","[8.0, 8.0]",0.00048828125,0.03125,none,0,False,"tensor([38.0000,  0.0000])","tensor([38.0000,  0.0000])","tensor([38.0000,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_18,100364571,50
96,0.09872,0.0991,0.098,0,[100],"('normal', None)",128,4,4,4,16,0.5,"[2.0, 2.0]","[2.0, 2.0]",0.00390625,2.0,none,0,False,"tensor([38.,  0.])","tensor([38.0000,  0.0000])","tensor([38.,  0.])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_4_4_4_transposed_loss_direct_100364571_exp_id_96,100364571,50
