id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
80,0.96928,0.9676,47,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.5,none,0,False,"tensor([33.5192,  5.0017])","tensor([33.5221,  5.0581])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_80,100364571,50
60,0.9489,0.9589,47,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.0625,none,2048,False,"tensor([41.0931,  5.0043])","tensor([40.3864,  5.0229])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_60,100364571,50
17,0.45364,0.6422,46,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,0,False,"tensor([8.8061, 3.3559])","tensor([8.9600, 3.4763])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_17,100364571,50
1,0.1026,0.1064,4,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.0517578125e-05,0.5,none,0,False,"tensor([8.0000, 4.7110])","tensor([8., 3.])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_1,100364571,50
85,0.96402,0.9661,28,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.5,none,2048,False,"tensor([31.0446,  4.9882])","tensor([31.1636,  5.0746])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_85,100364571,50
53,0.92394,0.944,30,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,2048,False,"tensor([30.8637,  4.9850])","tensor([30.4320,  4.9174])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_53,100364571,50
89,0.97094,0.9692,43,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.0625,none,0,False,"tensor([32.5675,  4.9964])","tensor([32.6842,  4.9919])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_89,100364571,50
22,0.99086,0.9767,35,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,2048,True,"tensor([22.5275,  5.0085])","tensor([22.0743,  4.9246])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_22,100364571,50
92,0.9699,0.9673,39,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.0625,none,2048,False,"tensor([45.9081,  5.0147])","tensor([46.0270,  5.0242])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_92,100364571,50
81,0.69404,0.9248,33,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.5,none,0,False,"tensor([26.7562,  4.1412])","tensor([28.1888,  6.2401])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_81,100364571,50
70,0.96886,0.9687,28,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.814697265625e-06,0.5,none,2048,True,"tensor([34.4251,  5.0177])","tensor([34.3936,  4.9626])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_70,100364571,50
55,0.92692,0.9519,43,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,2048,True,"tensor([30.6576,  4.9947])","tensor([29.4074,  4.7154])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_55,100364571,50
57,0.10148,0.1064,1,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.0625,none,0,False,"tensor([15.9996,  4.3181])","tensor([16.,  6.])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_57,100364571,50
84,0.9706,0.9682,49,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.5,none,2048,False,"tensor([36.4393,  5.0173])","tensor([36.2644,  4.9144])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_84,100364571,50
48,0.17876,0.3121,1,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,0,False,"tensor([15.9994,  3.3332])","tensor([16.9117,  5.9401])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_48,100364571,50
19,0.5166,0.8053,13,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,0,True,"tensor([9.4948, 3.4703])","tensor([9.8855, 4.8105])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_19,100364571,50
56,0.53456,0.6832,2,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.0625,none,0,False,"tensor([20.5839,  4.7420])","tensor([20.9486,  4.2672])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_56,100364571,50
94,0.97098,0.967,49,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.0625,none,2048,True,"tensor([47.1249,  5.0153])","tensor([46.8831,  5.0322])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_94,100364571,50
50,0.15354,0.3391,9,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,0,True,"tensor([15.6695,  2.6060])","tensor([16.9543,  5.2126])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_50,100364571,50
63,0.93192,0.9524,40,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.0625,none,2048,True,"tensor([35.2621,  4.9983])","tensor([34.7400,  5.0294])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_63,100364571,50
51,0.1022,0.0991,0,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,0,True,"tensor([3.5070, 0.4048])","tensor([3., 0.])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_51,100364571,50
3,0.10316,0.1064,4,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.0517578125e-05,0.5,none,0,True,"tensor([8.0018, 4.7141])","tensor([8.0000, 2.9999])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_3,100364571,50
11,0.10242,0.1882,29,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.0517578125e-05,0.0625,none,0,True,"tensor([8.9590, 4.8126])","tensor([8.1826, 3.5921])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_11,100364571,50
38,0.9849,0.9764,45,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.5,none,2048,True,"tensor([27.5145,  5.0119])","tensor([27.4355,  4.9934])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_38,100364571,50
62,0.94492,0.9585,17,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.0625,none,2048,True,"tensor([42.1726,  5.0085])","tensor([41.5506,  4.9507])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_62,100364571,50
33,0.82762,0.9459,25,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.5,none,0,False,"tensor([14.2108,  4.4624])","tensor([14.2334,  4.9616])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_33,100364571,50
9,0.10024,0.1064,2,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.0517578125e-05,0.0625,none,0,False,"tensor([8.0002, 4.3184])","tensor([8.0001, 5.9997])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_9,100364571,50
39,0.98978,0.9771,45,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.5,none,2048,True,"tensor([19.5450,  4.9906])","tensor([19.2061,  5.0421])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_39,100364571,50
61,0.93234,0.9566,40,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.0625,none,2048,False,"tensor([34.5523,  4.9940])","tensor([34.7123,  4.9292])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_61,100364571,50
21,0.9785,0.9704,28,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,2048,False,"tensor([17.3917,  4.9784])","tensor([16.7473,  4.7566])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_21,100364571,50
69,0.94662,0.9606,21,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.814697265625e-06,0.5,none,2048,False,"tensor([30.1397,  4.9919])","tensor([30.1462,  5.0313])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_69,100364571,50
14,0.97486,0.97,49,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.0517578125e-05,0.0625,none,2048,True,"tensor([25.1175,  5.0083])","tensor([24.4342,  4.9945])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_14,100364571,50
49,0.10204,0.0991,0,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,0,False,"tensor([15.,  0.])","tensor([15.,  0.])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_49,100364571,50
44,0.98622,0.9749,36,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.0625,none,2048,False,"tensor([35.5513,  5.0147])","tensor([35.5374,  5.0401])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_44,100364571,50
68,0.9662,0.9671,17,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.814697265625e-06,0.5,none,2048,False,"tensor([33.4623,  5.0149])","tensor([33.2055,  4.9977])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_68,100364571,50
36,0.9873,0.9767,43,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.5,none,2048,False,"tensor([26.6672,  5.0098])","tensor([26.6748,  4.9942])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_36,100364571,50
91,0.9732,0.9687,47,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.0625,none,0,True,"tensor([34.2139,  4.9975])","tensor([34.3122,  5.0098])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_91,100364571,50
47,0.99196,0.9794,45,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.0625,none,2048,True,"tensor([24.9667,  4.9993])","tensor([25.0327,  4.9720])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_47,100364571,50
54,0.94234,0.958,40,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.0517578125e-05,0.5,none,2048,True,"tensor([32.3098,  5.0088])","tensor([32.0131,  4.8870])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_54,100364571,50
88,0.97114,0.9662,45,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.0625,none,0,False,"tensor([44.9626,  5.0141])","tensor([44.7848,  4.9991])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_88,100364571,50
18,0.9886,0.9758,49,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,0,True,"tensor([21.6052,  5.0057])","tensor([21.4069,  4.8751])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_18,100364571,50
30,0.9914,0.9771,47,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.0625,none,2048,True,"tensor([28.4281,  5.0122])","tensor([28.3625,  5.0353])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_30,100364571,50
87,0.96506,0.9654,28,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",9.5367431640625e-07,0.5,none,2048,True,"tensor([31.6904,  4.9893])","tensor([31.8872,  4.9648])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_87,100364571,50
42,0.98312,0.9763,34,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.0625,none,0,True,"tensor([38.4331,  5.0147])","tensor([38.4660,  4.9958])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_42,100364571,50
23,0.97564,0.9716,17,[100],"('random', (-1, 2))",512.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,2048,True,"tensor([17.5074,  4.9773])","tensor([17.5272,  4.9518])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_23,100364571,50
20,0.9914,0.9764,38,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.5,none,2048,False,"tensor([22.1381,  5.0062])","tensor([21.9392,  5.0351])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_20,100364571,50
46,0.98502,0.9761,43,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",9.5367431640625e-07,0.0625,none,2048,True,"tensor([38.3831,  5.0137])","tensor([38.3692,  5.0295])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_46,100364571,50
76,0.9721,0.9697,38,[100],"('random', (-1, 2))",128.0,16,16,16,32,0.5,"[256000.0, 512000.0]","[1024000.0, 2048000.0]",3.814697265625e-06,0.0625,none,2048,False,"tensor([42.6553,  5.0133])","tensor([42.4577,  5.0199])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_76,100364571,50
