id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
42,0.97382,0.971,29,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,False,"tensor([26.4305,  5.0082])","tensor([25.9238,  4.9583])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_42,100364571,50
13,0.75726,0.8319,10,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,8,True,"tensor([25.9440,  5.7000])","tensor([22.7684,  5.0012])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_13,100364571,50
29,0.80722,0.8721,39,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.0009765625,0.5,none,8,True,"tensor([47.4354,  5.3510])","tensor([50.8377,  7.5017])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_29,100364571,50
38,0.7876,0.9016,26,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,16,False,"tensor([18.1096,  4.9184])","tensor([20.3386,  7.0344])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_38,100364571,50
48,0.09882,0.0991,0,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.000244140625,0.5,none,0,False,"tensor([30.9991,  0.0000])","tensor([30.9986,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_48,100364571,50
22,0.75774,0.8558,9,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.000244140625,0.5,none,16,False,"tensor([45.9640,  4.9790])","tensor([47.8014,  6.5563])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_22,100364571,50
50,0.91756,0.9301,43,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.000244140625,0.5,none,2,False,"tensor([55.8362,  5.0011])","tensor([55.8569,  5.0237])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_50,100364571,50
24,0.09882,0.0991,0,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.0009765625,0.5,none,0,False,"tensor([30.9991,  0.0000])","tensor([30.9986,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_24,100364571,50
35,0.7326,0.8405,17,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,True,"tensor([24.5850,  6.5383])","tensor([24.1485,  7.2459])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_35,100364571,50
61,0.82296,0.8687,25,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.0009765625,0.5,none,8,True,"tensor([49.0434,  5.1037])","tensor([50.3759,  5.9488])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_61,100364571,50
41,0.10046,0.109,11,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,0,True,"tensor([42.2180,  2.5703])","tensor([60.8827, 10.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_41,100364571,50
16,0.09888,0.0991,0,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.000244140625,0.5,none,0,False,"tensor([30.9991,  0.0000])","tensor([30.9986,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_16,100364571,50
11,0.7121,0.8168,1,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,True,"tensor([49.0687,  6.4052])","tensor([51.7096,  8.0911])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_11,100364571,50
44,0.91252,0.9425,40,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,8,False,"tensor([19.1903,  5.0037])","tensor([20.8553,  5.8956])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_44,100364571,50
62,0.7599,0.8773,39,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.0009765625,0.5,none,16,False,"tensor([45.2857,  4.8599])","tensor([48.5402,  7.2220])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_62,100364571,50
14,0.77856,0.8599,11,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,16,False,"tensor([18.3122,  5.0157])","tensor([17.6202,  5.0031])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_14,100364571,50
25,0.09818,0.0991,0,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.0009765625,0.5,none,0,True,"tensor([26.9992,  0.0000])","tensor([26.9988,  0.0000])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_25,100364571,50
51,0.78864,0.8509,4,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.000244140625,0.5,none,2,True,"tensor([77.0291,  5.2239])","tensor([77.5085,  5.4534])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_51,100364571,50
26,0.91376,0.9269,47,[100],"('random', (-1, 2))",128,8,6,8,16,0.5,"[2000.0, 4000.0]","[8000.0, 16000.0]",0.0009765625,0.5,none,2,False,"tensor([60.6165,  5.0456])","tensor([60.8301,  5.1411])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_6_8_transposed_loss_direct_100364571_exp_id_26,100364571,50
