id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
0,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -6)]}",100364571,50,0.9722,0.9552,0.9529,44,"tensor([0.0016, 0.0016])","tensor([0.2419, 0.0000, 0.0245])","tensor([0.0062, 0.0000, 0.0007])","tensor([0.0064, 0.0000, 0.0007])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_0
1,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -6)]}",100364571,50,0.9722,0.9541,0.9513,43,"tensor([0.0016, 0.0015])","tensor([0.2215, 0.0000, 0.0245])","tensor([0.0057, 0.0000, 0.0007])","tensor([0.0058, 0.0000, 0.0007])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_1
2,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -6)]}",100364571,50,0.97616,0.9567,0.9496,47,"tensor([0.0013, 0.0013])","tensor([0.2169, 0.0000, 0.0241])","tensor([0.0056, 0.0000, 0.0007])","tensor([0.0057, 0.0000, 0.0007])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_2
3,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -7)]}",100364571,50,0.95656,0.944,0.9473,46,"tensor([0.0025, 0.0025])","tensor([0.2591, 0.0000, 0.0231])","tensor([0.0067, 0.0000, 0.0006])","tensor([0.0068, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_3
4,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -7)]}",100364571,50,0.95358,0.949,0.9463,35,"tensor([0.0027, 0.0027])","tensor([0.2429, 0.0000, 0.0223])","tensor([0.0063, 0.0000, 0.0007])","tensor([0.0064, 0.0000, 0.0007])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_4
5,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -7)]}",100364571,50,0.96474,0.9492,0.9488,49,"tensor([0.0020, 0.0020])","tensor([0.2708, 0.0000, 0.0226])","tensor([0.0070, 0.0000, 0.0006])","tensor([0.0071, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_5
6,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -8)]}",100364571,50,0.93642,0.9336,0.9314,49,"tensor([0.0038, 0.0036])","tensor([0.3173, 0.0000, 0.0211])","tensor([0.0082, 0.0000, 0.0006])","tensor([0.0083, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_6
7,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -8)]}",100364571,50,0.94076,0.9367,0.9364,49,"tensor([0.0035, 0.0034])","tensor([0.3362, 0.0000, 0.0210])","tensor([0.0087, 0.0000, 0.0006])","tensor([0.0089, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_7
8,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -8)]}",100364571,50,0.94434,0.9375,0.9349,45,"tensor([0.0032, 0.0033])","tensor([0.3023, 0.0000, 0.0211])","tensor([0.0079, 0.0000, 0.0006])","tensor([0.0080, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_8
9,"{'out_layer': (0.5, 512000.0, 512000.0, 1.0, 31, 4), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -6)]}",100364571,50,0.96328,0.9536,0.9456,45,"tensor([0.0022, 0.0020])","tensor([0.3084, 0.0000, 0.0187])","tensor([0.0079, 0.0000, 0.0005])","tensor([0.0080, 0.0000, 0.0006])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_9
10,"{'out_layer': (0.5, 512000.0, 512000.0, 1.0, 31, 5), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -6)]}",100364571,50,0.96726,0.9531,0.9465,37,"tensor([0.0019, 0.0018])","tensor([0.3055, 0.0000, 0.0181])","tensor([0.0079, 0.0000, 0.0005])","tensor([0.0080, 0.0000, 0.0005])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_10
11,"{'out_layer': (0.5, 512000.0, 512000.0, 1.0, 31, 6), 'hidden_layer': [(0.5, 256000.0, 256000.0, 1.0, -6)]}",100364571,50,0.97086,0.9598,0.9506,38,"tensor([0.0017, 0.0017])","tensor([0.2841, 0.0000, 0.0183])","tensor([0.0073, 0.0000, 0.0005])","tensor([0.0075, 0.0000, 0.0005])",0,0,grid_search_16bits/mnist_biograd_int_transposed_loss_final_100364571_exp_16bits_11
