id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
0,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.97854,0.9551,0.9518,47,"tensor([nan, nan])","tensor([0.1843, 0.0000, 0.0365])","tensor([0.0047, 0.0000, 0.0010])","tensor([0.0047, 0.0000, 0.0010])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_0
1,"{'out_layer': (0.5, 128000.0, 128000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.97426,0.9553,0.9534,49,"tensor([nan, nan])","tensor([0.1614, 0.0000, 0.0259])","tensor([0.0041, 0.0000, 0.0007])","tensor([0.0041, 0.0000, 0.0008])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_1
2,"{'out_layer': (0.5, 128000.0, 256000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.95222,0.9517,0.9485,15,"tensor([nan, nan])","tensor([0.1625, 0.0000, 0.0228])","tensor([0.0042, 0.0000, 0.0007])","tensor([0.0043, 0.0000, 0.0007])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_2
3,"{'out_layer': (0.5, 256000.0, 256000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.97078,0.9536,0.9513,35,"tensor([nan, nan])","tensor([0.1901, 0.0000, 0.0200])","tensor([0.0049, 0.0000, 0.0006])","tensor([0.0049, 0.0000, 0.0006])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_3
4,"{'out_layer': (0.5, 256000.0, 512000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.96492,0.9548,0.9505,35,"tensor([nan, nan])","tensor([0.1758, 0.0000, 0.0184])","tensor([0.0045, 0.0000, 0.0005])","tensor([0.0045, 0.0000, 0.0005])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_4
5,"{'out_layer': (0.5, 512000.0, 512000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.98374,0.9566,0.9516,47,"tensor([nan, nan])","tensor([0.1997, 0.0000, 0.0175])","tensor([0.0051, 0.0000, 0.0005])","tensor([0.0051, 0.0000, 0.0005])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_5
6,"{'out_layer': (0.5, 512000.0, 1024000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.9738,0.9553,0.9497,40,"tensor([nan, nan])","tensor([0.1936, 0.0000, 0.0157])","tensor([0.0049, 0.0000, 0.0005])","tensor([0.0049, 0.0000, 0.0005])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_6
7,"{'out_layer': (0.5, 1024000.0, 1024000.0, 1.0, 31, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.97744,0.9563,0.9548,28,"tensor([nan, nan])","tensor([0.2967, 0.0000, 0.0145])","tensor([0.0076, 0.0000, 0.0005])","tensor([0.0076, 0.0000, 0.0005])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_7
8,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 1, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.97854,0.9551,0.9518,47,"tensor([nan, nan])","tensor([0.1843, 0.0000, 0.0365])","tensor([0.0047, 0.0000, 0.0010])","tensor([0.0047, 0.0000, 0.0010])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_8
9,"{'out_layer': (0.5, 128000.0, 128000.0, 1.0, 1, 3), 'hidden_layer': [(0.5, 64000.0, 128000.0, 1.0, -10)]}",100364571,50,0.97426,0.9553,0.9534,49,"tensor([nan, nan])","tensor([0.1614, 0.0000, 0.0259])","tensor([0.0041, 0.0000, 0.0007])","tensor([0.0041, 0.0000, 0.0008])",0,0,grid_search_16bits_all/mnist_biograd_int_transposed_loss_direct_100364571_exp_16bits_all_9
