id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
0,"{'out_layer': (0.25, 16000.0, 16000.0, 1.0, 1, -2), 'hidden_layer': [(0.25, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.899,0.9323,0.9223,40,"tensor([nan, nan])","tensor([57.9791,  0.0000,  1.9704])","tensor([2.9141, 0.0000, 0.1282])","tensor([2.9776, 0.0000, 0.1198])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_0
1,"{'out_layer': (0.25, 24000.0, 24000.0, 1.0, 1, -2), 'hidden_layer': [(0.25, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.8774,0.9134,0.9064,38,"tensor([nan, nan])","tensor([56.5134,  0.0000,  1.7962])","tensor([2.8362, 0.0000, 0.1292])","tensor([2.9071, 0.0000, 0.1288])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_1
2,"{'out_layer': (0.25, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.25, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.88234,0.9079,0.9038,47,"tensor([nan, nan])","tensor([55.2414,  0.0000,  1.7059])","tensor([2.7831, 0.0000, 0.1278])","tensor([2.8361, 0.0000, 0.1245])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_2
3,"{'out_layer': (0.5, 16000.0, 16000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.92286,0.944,0.9352,39,"tensor([nan, nan])","tensor([40.9706,  0.0000,  1.1856])","tensor([2.2004, 0.0000, 0.0801])","tensor([2.2615, 0.0000, 0.0765])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_3
4,"{'out_layer': (0.5, 24000.0, 24000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.91846,0.9447,0.9384,38,"tensor([nan, nan])","tensor([41.0994,  0.0000,  1.0953])","tensor([2.1949, 0.0000, 0.0790])","tensor([2.2513, 0.0000, 0.0777])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_4
5,"{'out_layer': (0.5, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.9172,0.9328,0.9245,45,"tensor([nan, nan])","tensor([41.1007,  0.0000,  1.0191])","tensor([2.1830, 0.0000, 0.0670])","tensor([2.2334, 0.0000, 0.0667])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_5
6,"{'out_layer': (0.25, 16000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.25, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.9032,0.9299,0.9251,47,"tensor([nan, nan])","tensor([59.8847,  0.0000,  1.9920])","tensor([3.0151, 0.0000, 0.1243])","tensor([3.0669, 0.0000, 0.1241])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_6
7,"{'out_layer': (0.25, 24000.0, 48000.0, 1.0, 1, -2), 'hidden_layer': [(0.25, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.87786,0.9219,0.9122,38,"tensor([nan, nan])","tensor([56.5327,  0.0000,  1.8059])","tensor([2.8410, 0.0000, 0.1325])","tensor([2.9145, 0.0000, 0.1391])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_7
8,"{'out_layer': (0.25, 32000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.25, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.88018,0.9113,0.9054,42,"tensor([nan, nan])","tensor([54.9342,  0.0000,  1.7035])","tensor([2.7600, 0.0000, 0.1381])","tensor([2.8248, 0.0000, 0.1366])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_8
9,"{'out_layer': (0.5, 16000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.92552,0.9376,0.9314,45,"tensor([nan, nan])","tensor([41.7353,  0.0000,  1.2026])","tensor([2.2454, 0.0000, 0.0814])","tensor([2.3083, 0.0000, 0.0805])",0,0,grid_search_16bits_low_th/mnist_biograd_quant_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_16bits_low_th_9
