id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
47,"{'out_layer': (1.0, 0.5, 1.0, 1.0, 1.0, 0), 'hidden_layer': [(1.0, 0.2, 0.2, 1.0, 0, 16, 5)]}",100364571,50,0.9542,0.9533,0.9524,47,"tensor([nan, nan])","tensor([0.0363, 0.0000, 0.0706])","tensor([0.1818, 0.0000, 0.0018])","tensor([0.1821, 0.0000, 0.0018])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_47
0,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0, 16, 5)]}",100364571,50,0.98194,0.9642,0.959,48,"tensor([nan, nan])","tensor([0.0046, 0.0000, 0.0943])","tensor([0.0242, 0.0000, 0.0024])","tensor([0.0235, 0.0000, 0.0024])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_0
29,"{'out_layer': (1.0, 0.2, 0.4, 1.0, 1.0, 0), 'hidden_layer': [(1.0, 0.2, 0.4, 1.0, 0, 16, 5)]}",100364571,50,0.93302,0.9392,0.9393,45,"tensor([nan, nan])","tensor([0.0366, 0.0000, 0.0683])","tensor([0.1827, 0.0000, 0.0018])","tensor([0.1829, 0.0000, 0.0018])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_29
68,"{'out_layer': (0.5, 0.5, 0.5, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.5, 1.0, 1.0, 0, 16, 5)]}",100364571,50,0.97868,0.9681,0.9634,44,"tensor([nan, nan])","tensor([0.0144, 0.0000, 0.0821])","tensor([0.0737, 0.0000, 0.0020])","tensor([0.0752, 0.0000, 0.0020])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_68
6,"{'out_layer': (0.5, 0.2, 0.2, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0, 16, 5)]}",100364571,50,0.96802,0.9505,0.9432,46,"tensor([nan, nan])","tensor([0.0028, 0.0000, 0.0886])","tensor([0.0148, 0.0000, 0.0022])","tensor([0.0144, 0.0000, 0.0023])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_6
5,"{'out_layer': (1.0, 0.2, 0.4, 1.0, 1.0, 0), 'hidden_layer': [(1.0, 0.3, 0.6, 1.0, 0, 16, 5)]}",100364571,50,0.94122,0.9491,0.9464,49,"tensor([nan, nan])","tensor([0.0396, 0.0000, 0.0688])","tensor([0.1991, 0.0000, 0.0018])","tensor([0.1995, 0.0000, 0.0018])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_5
46,"{'out_layer': (0.5, 0.5, 1.0, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.2, 0.2, 1.0, 0, 16, 5)]}",100364571,50,0.98434,0.9651,0.9586,46,"tensor([nan, nan])","tensor([0.0066, 0.0000, 0.0955])","tensor([0.0342, 0.0000, 0.0024])","tensor([0.0333, 0.0000, 0.0024])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_46
36,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.2, 0.2, 1.0, 0, 16, 5)]}",100364571,50,0.9745,0.9539,0.9448,47,"tensor([nan, nan])","tensor([0.0043, 0.0000, 0.0956])","tensor([0.0219, 0.0000, 0.0024])","tensor([0.0215, 0.0000, 0.0024])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_36
38,"{'out_layer': (0.5, 0.3, 0.3, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.2, 0.2, 1.0, 0, 16, 5)]}",100364571,50,0.95614,0.9441,0.935,40,"tensor([nan, nan])","tensor([0.0026, 0.0000, 0.0878])","tensor([0.0136, 0.0000, 0.0022])","tensor([0.0132, 0.0000, 0.0022])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_38
20,"{'out_layer': (0.5, 0.5, 0.5, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.3, 1.0, 0, 16, 5)]}",100364571,50,0.86944,0.8744,0.8729,42,"tensor([nan, nan])","tensor([0.0767, 0.0000, 0.0609])","tensor([0.3888, 0.0000, 0.0016])","tensor([0.3931, 0.0000, 0.0017])",0,0,grid_search_cnn_float/mnist_biograd_float_transposed_loss_direct_100364571_exp_cnn_float_20
