id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
41,"{'out_layer': (0.5, 0.5, 1.0, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.5, 1.0, 1.0, 0, 32, 5, True), (0.5, 0.3, 0.6, 1.0, 0, 16, 3, True)]}",100364571,50,0.96226,0.9609,0.9609,44,"tensor([nan, nan])","tensor([ 5.0003,  3.8047, 11.3094])","tensor([0.2522, 0.1959, 0.5427])","tensor([0.2593, 0.2015, 0.5390])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_41
37,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.5, 1.0, 1.0, 0, 32, 5, True), (0.5, 0.3, 0.6, 1.0, 0, 16, 3, True)]}",100364571,50,0.96062,0.9613,0.9589,46,"tensor([nan, nan])","tensor([ 5.0791,  4.6781, 10.2176])","tensor([0.2573, 0.2413, 0.4888])","tensor([0.2634, 0.2467, 0.4862])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_37
11,"{'out_layer': (0.5, 0.5, 1.0, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0, 32, 5, True), (0.5, 0.2, 0.4, 1.0, 0, 16, 3, True)]}",100364571,50,0.97328,0.9679,0.9658,45,"tensor([nan, nan])","tensor([ 9.2481,  6.5962, 10.2888])","tensor([0.4638, 0.3331, 0.4962])","tensor([0.4715, 0.3361, 0.4960])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_11
28,"{'out_layer': (0.5, 0.5, 1.0, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.2, 0.4, 1.0, 0, 16, 5, True), (0.5, 0.2, 0.4, 1.0, 0, 32, 3, True)]}",100364571,50,0.97492,0.969,0.9647,48,"tensor([nan, nan])","tensor([11.5853,  3.1109, 10.7356])","tensor([0.5788, 0.1586, 0.5045])","tensor([0.5857, 0.1577, 0.5008])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_28
2,"{'out_layer': (0.5, 0.2, 0.4, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0, 16, 5, True), (0.5, 0.3, 0.6, 1.0, 0, 32, 3, True)]}",100364571,50,0.97202,0.9656,0.9614,49,"tensor([nan, nan])","tensor([ 7.7170,  1.8336, 10.4627])","tensor([0.3867, 0.0950, 0.4993])","tensor([0.3931, 0.0957, 0.4951])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_2
8,"{'out_layer': (0.5, 0.2, 0.4, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0, 16, 5, True), (0.5, 0.2, 0.4, 1.0, 0, 32, 3, True)]}",100364571,50,0.96602,0.9657,0.9583,46,"tensor([nan, nan])","tensor([9.8832, 2.7591, 9.5226])","tensor([0.4941, 0.1405, 0.4727])","tensor([0.5017, 0.1408, 0.4757])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_8
49,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.5, 1.0, 1.0, 0, 32, 5, True), (0.5, 0.5, 1.0, 1.0, 0, 16, 3, True)]}",100364571,50,0.95016,0.9529,0.952,48,"tensor([nan, nan])","tensor([ 5.1037,  3.0077, 10.3702])","tensor([0.2588, 0.1546, 0.5218])","tensor([0.2643, 0.1599, 0.5328])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_49
13,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0, 32, 5, True), (0.5, 0.5, 1.0, 1.0, 0, 16, 3, True)]}",100364571,50,0.96354,0.9649,0.9618,43,"tensor([nan, nan])","tensor([ 8.9266,  3.5331, 10.5114])","tensor([0.4465, 0.1830, 0.4881])","tensor([0.4546, 0.1871, 0.4869])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_13
38,"{'out_layer': (0.5, 0.2, 0.4, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.5, 1.0, 1.0, 0, 16, 5, True), (0.5, 0.3, 0.6, 1.0, 0, 32, 3, True)]}",100364571,50,0.96248,0.9571,0.9519,47,"tensor([nan, nan])","tensor([ 3.8278,  1.3344, 11.8806])","tensor([0.1921, 0.0702, 0.5855])","tensor([0.1986, 0.0715, 0.5745])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_38
50,"{'out_layer': (0.5, 0.2, 0.4, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.5, 1.0, 1.0, 0, 16, 5, True), (0.5, 0.5, 1.0, 1.0, 0, 32, 3, True)]}",100364571,50,0.94816,0.9473,0.9428,46,"tensor([nan, nan])","tensor([ 3.8984,  1.5166, 11.2011])","tensor([0.1966, 0.0792, 0.5622])","tensor([0.2026, 0.0842, 0.5503])",0,0,grid_search_cnn_float_2_layers/mnist_biograd_cnn_2_layers_float_transposed_loss_direct_100364571_exp_cnn_float_2_layers_50
