id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
9,"{'out_layer': (1.0, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(1.0, 0.3, 0.3, 1.0, 0)]}",100364571,50,0.05940297314578005,0.05966796875,0.05927734375,13,"tensor([0., 0.])","tensor([0.1277, 0.0000, 0.1053])","tensor([0.0033, 0.0000, 0.0027])","tensor([0.0033, 0.0000, 0.0027])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_final_100364571_exp_float_1_layer_vd_9
24,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.3, 1.0, 0)]}",100364571,50,0.9404371803069054,0.915234375,0.9083984375,49,"tensor([nan, nan])","tensor([0.1354, 0.0000, 0.0203])","tensor([0.0034, 0.0000, 0.0005])","tensor([0.0035, 0.0000, 0.0005])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_direct_100364571_exp_float_1_layer_vd_24
5,"{'out_layer': (1.0, 0.3, 0.6, 1.0, 0.3, 0), 'hidden_layer': [(1.0, 0.3, 0.6, 1.0, 0)]}",100364571,50,0.9210557864450127,0.900390625,0.89521484375,49,"tensor([0.0042, 0.0052])","tensor([0.0215, 0.0000, 0.0054])","tensor([0.0006, 0.0000, 0.0002])","tensor([0.0006, 0.0000, 0.0002])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_final_100364571_exp_float_1_layer_vd_5
34,"{'out_layer': (0.5, 0.3, 0.3, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0)]}",100364571,50,0.9509670716112532,0.92880859375,0.92333984375,49,"tensor([0.0041, 0.0042])","tensor([0.1077, 0.0000, 0.0223])","tensor([0.0027, 0.0000, 0.0006])","tensor([0.0028, 0.0000, 0.0006])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_feedback_100364571_exp_float_1_layer_vd_34
14,"{'out_layer': (0.5, 0.3, 0.3, 1.0, 0.3, 0), 'hidden_layer': [(0.5, 0.3, 0.3, 1.0, 0)]}",100364571,50,0.9424952046035806,0.91982421875,0.91259765625,49,"tensor([0.0041, 0.0042])","tensor([0.1120, 0.0000, 0.0207])","tensor([0.0028, 0.0000, 0.0006])","tensor([0.0029, 0.0000, 0.0006])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_final_100364571_exp_float_1_layer_vd_14
11,"{'out_layer': (1.0, 0.3, 0.3, 1.0, 1.0, 0), 'hidden_layer': [(1.0, 0.3, 0.3, 1.0, 0)]}",100364571,50,0.05940297314578005,0.05966796875,0.05927734375,13,"tensor([0., 0.])","tensor([0.1277, 0.0000, 0.1053])","tensor([0.0033, 0.0000, 0.0027])","tensor([0.0033, 0.0000, 0.0027])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_final_100364571_exp_float_1_layer_vd_11
32,"{'out_layer': (0.5, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.6, 1.0, 0)]}",100364571,50,0.9473305626598465,0.928125,0.9208984375,49,"tensor([0.0043, 0.0045])","tensor([0.1281, 0.0000, 0.0225])","tensor([0.0032, 0.0000, 0.0006])","tensor([0.0033, 0.0000, 0.0006])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_feedback_100364571_exp_float_1_layer_vd_32
47,"{'out_layer': (1.0, 0.3, 0.3, 1.0, 0.3, 0), 'hidden_layer': [(1.0, 0.3, 0.3, 1.0, 0)]}",100364571,50,0.9627557544757033,0.93115234375,0.92529296875,40,"tensor([0.0038, 0.0039])","tensor([0.0216, 0.0000, 0.0171])","tensor([0.0006, 0.0000, 0.0006])","tensor([0.0006, 0.0000, 0.0006])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_feedback_100364571_exp_float_1_layer_vd_47
17,"{'out_layer': (1.0, 0.3, 0.6, 1.0, 1.0, 0), 'hidden_layer': [(1.0, 0.3, 0.6, 1.0, 0)]}",100364571,50,0.9117247442455243,0.898046875,0.8892578125,37,"tensor([nan, nan])","tensor([0.0191, 0.0000, 0.0054])","tensor([0.0005, 0.0000, 0.0002])","tensor([0.0005, 0.0000, 0.0002])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_direct_100364571_exp_float_1_layer_vd_17
42,"{'out_layer': (0.5, 0.3, 0.3, 1.0, 1.0, 0), 'hidden_layer': [(0.5, 0.3, 0.3, 1.0, 0)]}",100364571,50,0.9575407608695652,0.9298828125,0.926171875,47,"tensor([0.0035, 0.0036])","tensor([0.1256, 0.0000, 0.0264])","tensor([0.0032, 0.0000, 0.0007])","tensor([0.0032, 0.0000, 0.0007])",0,0,grid_search_float_1_layer_vd/mnist_biograd_float_transposed_loss_feedback_100364571_exp_float_1_layer_vd_42
