id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
34,0.96446,0.9689,0.9675,44,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,0.03125,none,2,False,"tensor([ 2.6854, 11.4815])","tensor([ 2.6285, 11.2271])","tensor([ 2.6085, 11.2909])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_34,100364571,50
12,0.66948,0.819,0.8075,36,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00048828125,2.0,none,1,False,"tensor([ 0.2872, 10.3605])","tensor([ 0.2847, 13.5861])","tensor([ 0.2721, 13.6504])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_12,100364571,50
54,0.66408,0.8799,0.8759,0,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,0.25,none,2,False,"tensor([0.3352, 9.7507])","tensor([ 0.4119, 12.6548])","tensor([ 0.4094, 12.8228])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_54,100364571,50
50,0.66796,0.8036,0.7939,24,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,2.0,none,2,False,"tensor([ 0.2682, 10.3176])","tensor([ 0.2348, 12.2286])","tensor([ 0.2220, 12.3457])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_50,100364571,50
70,0.96098,0.9692,0.9687,30,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,6.103515625e-05,0.03125,none,2,False,"tensor([ 2.3893, 11.4478])","tensor([ 2.3514, 11.1517])","tensor([ 2.3319, 11.2560])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_70,100364571,50
29,0.851,0.9315,0.9238,0,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,0.25,none,1,True,"tensor([ 0.9306, 11.4709])","tensor([ 0.9682, 11.6609])","tensor([ 0.9872, 11.6518])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_29,100364571,50
53,0.87838,0.9349,0.9308,1,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,0.25,none,1,True,"tensor([ 1.1313, 11.7470])","tensor([ 1.0033, 11.4488])","tensor([ 1.0177, 11.4114])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_53,100364571,50
45,0.85512,0.9079,0.9072,2,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00390625,0.03125,none,1,True,"tensor([ 5.1477, 12.1263])","tensor([ 5.7899, 12.0761])","tensor([ 5.9135, 12.0401])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_45,100364571,50
31,0.85094,0.9337,0.9299,44,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,0.25,none,2,True,"tensor([ 4.5090, 11.1386])","tensor([ 4.4547, 10.4719])","tensor([ 4.4808, 10.5437])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_31,100364571,50
14,0.66942,0.7975,0.7888,40,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00048828125,2.0,none,2,False,"tensor([ 0.2716, 10.3929])","tensor([ 0.2606, 11.8847])","tensor([ 0.2499, 12.0285])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_14,100364571,50
58,0.96426,0.9695,0.9666,31,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,0.03125,none,2,False,"tensor([ 2.4882, 11.4619])","tensor([ 2.4426, 11.0858])","tensor([ 2.4241, 11.1193])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_58,100364571,50
69,0.82698,0.9156,0.9122,0,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,6.103515625e-05,0.03125,none,1,True,"tensor([ 3.5750, 11.7238])","tensor([ 5.3370, 12.8255])","tensor([ 5.4577, 12.8577])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_69,100364571,50
20,0.96806,0.9719,0.9703,36,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00048828125,0.03125,none,1,False,"tensor([ 2.9501, 11.5651])","tensor([ 2.8075, 11.5076])","tensor([ 2.7783, 11.5415])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_20,100364571,50
9,0.84896,0.9057,0.8988,0,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,0.03125,none,1,True,"tensor([ 3.4293, 12.1257])","tensor([ 5.2323, 11.4099])","tensor([ 5.4130, 11.2712])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_9,100364571,50
24,0.66584,0.8119,0.7974,31,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,2.0,none,1,False,"tensor([ 0.2740, 10.3716])","tensor([0.2550, 8.3355])","tensor([0.2435, 8.2838])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_24,100364571,50
27,0.64954,0.8277,0.8204,1,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,2.0,none,2,True,"tensor([0.2366, 9.5120])","tensor([ 0.2894, 11.7534])","tensor([ 0.2898, 11.9130])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_27,100364571,50
32,0.9704,0.9704,0.9683,46,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 2.8277, 11.5761])","tensor([ 2.7565, 11.7095])","tensor([ 2.7225, 11.8427])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_32,100364571,50
30,0.82936,0.9301,0.9218,19,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,0.25,none,2,False,"tensor([ 2.0377, 10.8183])","tensor([ 2.2591, 10.8120])","tensor([ 2.2568, 10.8768])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_30,100364571,50
57,0.83016,0.909,0.9024,4,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,0.03125,none,1,True,"tensor([ 6.4912, 12.1070])","tensor([ 5.2351, 12.2913])","tensor([ 5.3091, 12.3009])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_57,100364571,50
52,0.8018,0.9162,0.9115,9,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,0.25,none,1,False,"tensor([ 1.2791, 10.5332])","tensor([ 1.4590, 10.5458])","tensor([ 1.4459, 10.6618])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_52,100364571,50
4,0.87066,0.9411,0.9375,33,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,0.25,none,1,False,"tensor([ 3.2322, 10.9217])","tensor([ 3.1710, 11.7346])","tensor([ 3.1786, 11.9058])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_4,100364571,50
25,0.63818,0.8115,0.8124,2,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,2.0,none,1,True,"tensor([0.1017, 9.1766])","tensor([ 0.0740, 11.8489])","tensor([ 0.0756, 12.1727])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_25,100364571,50
39,0.70936,0.8585,0.8493,15,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00390625,2.0,none,2,True,"tensor([ 0.5080, 10.8120])","tensor([ 0.5275, 10.8377])","tensor([ 0.5154, 10.8650])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_39,100364571,50
1,0.66794,0.8356,0.8327,0,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,2.0,none,1,True,"tensor([0.1619, 9.5764])","tensor([ 0.1245, 14.8961])","tensor([ 0.1270, 15.2665])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_1,100364571,50
11,0.84628,0.9291,0.9291,0,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,0.03125,none,2,True,"tensor([ 4.6892, 11.5483])","tensor([ 7.3646, 11.2645])","tensor([ 7.4167, 11.2492])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_11,100364571,50
63,0.68874,0.8482,0.8535,24,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,6.103515625e-05,2.0,none,2,True,"tensor([ 0.3894, 10.4142])","tensor([ 0.3501, 11.0265])","tensor([ 0.3429, 11.1035])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_63,100364571,50
26,0.66584,0.8084,0.8041,12,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,2.0,none,2,False,"tensor([ 0.2654, 10.3555])","tensor([ 0.2501, 12.2547])","tensor([ 0.2390, 12.4108])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_26,100364571,50
67,0.84604,0.9318,0.924,31,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,6.103515625e-05,0.25,none,2,True,"tensor([ 6.8472, 11.0976])","tensor([ 6.8254, 10.6332])","tensor([ 6.8633, 10.6538])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_67,100364571,50
48,0.68266,0.8121,0.7974,33,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,0.00048828125,2.0,none,1,False,"tensor([ 0.3365, 10.2818])","tensor([ 0.3824, 11.1035])","tensor([ 0.3626, 11.2428])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_48,100364571,50
5,0.83524,0.906,0.9034,3,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,0.25,none,1,True,"tensor([ 0.6693, 12.0421])","tensor([ 0.9757, 11.0896])","tensor([ 0.9981, 11.1024])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_5,100364571,50
35,0.85836,0.926,0.922,26,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,6.103515625e-05,0.03125,none,2,True,"tensor([ 8.8615, 11.7130])","tensor([ 9.4011, 12.0813])","tensor([ 9.4642, 12.1382])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_35,100364571,50
10,0.9661,0.9726,0.9698,47,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,0.03125,none,2,False,"tensor([ 2.7401, 11.4988])","tensor([ 2.7778, 11.5131])","tensor([ 2.7583, 11.6071])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_10,100364571,50
6,0.82644,0.9296,0.9295,38,"('random', (-1, 2))",32,8,8,4,16,0.5,"[20.833333333333332, 41.666666666666664]","[20.833333333333332, 41.666666666666664]",32,5,True,0.00390625,0.25,none,2,False,"tensor([ 2.1219, 10.8493])","tensor([ 2.3376, 11.1776])","tensor([ 2.3422, 11.2293])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_6,100364571,50
60,0.68206,0.8123,0.7901,41,"('random', (-1, 2))",32,8,8,4,16,0.5,"[15.625, 31.25]","[15.625, 31.25]",32,5,True,6.103515625e-05,2.0,none,1,False,"tensor([ 0.3313, 10.2734])","tensor([ 0.2686, 12.1635])","tensor([ 0.2526, 12.2815])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_60,100364571,50
