id,train_acc,val_acc,test_acc,best_epoch,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,n_filters,kernel_size,reduce_dim,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
2,0.8975,0.9477,0.9442,42,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.2217, 11.2229])","tensor([ 1.1512, 10.9617])","tensor([ 1.1533, 11.0363])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_210342476_exp_id_2,210342476,50
4,0.79284,0.9507,0.9452,0,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 0.9021, 10.5603])","tensor([ 1.2978, 11.2276])","tensor([ 1.3019, 11.2815])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_642731685_exp_id_4,642731685,50
8,0.92304,0.9556,0.9524,29,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.8924, 11.1558])","tensor([ 1.8826, 11.1213])","tensor([ 1.8896, 11.2043])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_980342676_exp_id_8,980342676,50
5,0.9538,0.9644,0.9633,42,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 2.1751, 11.3837])","tensor([ 2.2087, 11.1867])","tensor([ 2.1931, 11.2987])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_431267089_exp_id_5,431267089,50
7,0.92328,0.9586,0.9541,4,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.3655, 11.1586])","tensor([ 1.3526, 10.7105])","tensor([ 1.3570, 10.7494])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_301420567_exp_id_7,301420567,50
6,0.93816,0.9559,0.9529,2,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.9536, 11.1175])","tensor([ 1.9975, 10.7848])","tensor([ 1.9976, 10.8699])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_613427981_exp_id_6,613427981,50
1,0.905,0.9473,0.945,38,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.1481, 11.2743])","tensor([ 1.1191, 11.3909])","tensor([ 1.1228, 11.4709])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_702546693_exp_id_1,702546693,50
3,0.90506,0.948,0.944,36,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.0926, 11.3436])","tensor([ 1.0415, 12.0739])","tensor([ 1.0462, 12.2103])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_712492346_exp_id_3,712492346,50
9,0.92138,0.952,0.9491,5,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 1.7719, 11.1458])","tensor([ 1.7793, 10.7144])","tensor([ 1.7829, 10.6690])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_416302576_exp_id_9,416302576,50
0,0.96678,0.9714,0.9689,47,"('normal', None)",32,8,8,4,16,0.5,"[16.0, 32.0]","[16.0, 32.0]",32,5,True,6.103515625e-05,0.03125,none,1,False,"tensor([ 3.0433, 11.4316])","tensor([ 3.0668, 11.3560])","tensor([ 3.0531, 11.5069])","tensor([nan, nan])",128,256,0,0,mnist_biograd_cnn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_0,100364571,50
