id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
105,0.9695,0.9612,46,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.5, 1.0]","[0.5, 1.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([25.2571, 18.5503])","tensor([25.2009, 18.5681])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_105,100364571,50
39,0.94674,0.9479,49,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.3, 0.3]","[0.6, 0.6]",0.001,0,0.003,none,0,1.0,1.0,0,"tensor([27.7469, 16.0446])","tensor([27.7357, 16.2086])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_39,100364571,50
103,0.94094,0.9402,36,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.5, 1.0]","[0.5, 1.0]",0.003,0,0.001,decay,0,1.0,1.0,0,"tensor([29.7748, 13.5126])","tensor([29.6350, 13.4042])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_103,100364571,50
43,0.93438,0.9391,45,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.3, 0.3]","[0.6, 0.6]",0.003,0,0.001,decay,0,1.0,1.0,0,"tensor([34.3761, 16.5205])","tensor([34.3570, 16.4996])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_43,100364571,50
84,0.94908,0.9451,46,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.5, 1.0]","[0.3, 0.3]",0.001,0,0.001,none,0,1.0,1.0,0,"tensor([28.8680, 14.1557])","tensor([28.8118, 14.1838])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_84,100364571,50
2,0.94612,0.9463,49,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.6, 0.6]","[0.6, 0.6]",0.001,0,0.001,cosine,0,1.0,1.0,0,"tensor([26.8493, 16.5881])","tensor([26.7719, 16.4910])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_2,100364571,50
52,0.9074,0.9153,43,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.3, 0.3]","[0.3, 0.3]",0.001,0,0.003,decay,0,1.0,1.0,0,"tensor([32.7605, 11.9136])","tensor([32.7409, 11.8588])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_52,100364571,50
102,0.96496,0.9597,36,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.5, 1.0]","[0.5, 1.0]",0.003,0,0.001,none,0,1.0,1.0,0,"tensor([30.7883, 16.8860])","tensor([30.7349, 16.6019])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_102,100364571,50
17,0.94268,0.9444,49,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.6, 0.6]","[0.3, 0.3]",0.001,0,0.003,cosine,0,1.0,1.0,0,"tensor([23.4186, 13.3676])","tensor([23.3446, 13.3928])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_17,100364571,50
4,0.92258,0.9318,26,[100],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[0.6, 0.6]","[0.6, 0.6]",0.001,0,0.003,decay,0,1.0,1.0,0,"tensor([24.7017, 15.3915])","tensor([24.6168, 15.3050])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_100364571_exp_id_4,100364571,50
