id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
54,0.98202,0.969,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[1.0, 2.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([29.3947, 16.4804])","tensor([29.5545, 16.4637])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_54,100364571,50
10,0.98828,0.9706,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[2.0, 4.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([34.3763, 13.1742])","tensor([34.3449, 13.0969])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_10,100364571,50
14,0.98702,0.9698,40,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[4.0, 6.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([40.3156, 11.6455])","tensor([40.3577, 11.6650])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_14,100364571,50
0,0.9755,0.9661,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 1.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([28.0807, 17.9243])","tensor([27.9860, 17.9131])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_0,100364571,50
15,0.9861,0.9703,37,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[4.0, 6.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([28.8893, 15.1942])","tensor([28.8228, 15.3107])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_15,100364571,50
22,0.98528,0.9699,36,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 2.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([27.4259, 14.5326])","tensor([27.5455, 14.4434])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_22,100364571,50
62,0.98902,0.9716,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[4.0, 6.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([43.0675, 12.9418])","tensor([43.0983, 12.7981])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_62,100364571,50
52,0.97538,0.9659,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[1.0, 2.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([30.7044, 16.2282])","tensor([30.6888, 16.1894])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_52,100364571,50
2,0.98198,0.9695,39,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 1.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([27.3833, 19.7864])","tensor([27.5841, 19.7180])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_2,100364571,50
20,0.97826,0.9696,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 2.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([25.4122, 15.6799])","tensor([25.2986, 15.7407])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_20,100364571,50
33,0.97732,0.9665,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 1.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([21.7349, 14.9884])","tensor([21.7687, 14.9894])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_33,100364571,50
35,0.97944,0.9701,31,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 1.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([21.0458, 17.6589])","tensor([20.8803, 17.3325])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_35,100364571,50
44,0.97902,0.9696,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[4.0, 6.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([38.2927, 12.4470])","tensor([38.1279, 12.6303])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_44,100364571,50
23,0.98634,0.9705,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 2.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([20.3782, 18.7818])","tensor([20.4486, 18.5354])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_23,100364571,50
28,0.9821,0.9698,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[4.0, 6.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([36.6982, 12.1603])","tensor([36.5189, 12.2134])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_28,100364571,50
18,0.98732,0.9695,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 1.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([25.2941, 17.9298])","tensor([25.3533, 18.1179])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_18,100364571,50
8,0.97816,0.969,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[2.0, 4.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([33.3169, 12.5776])","tensor([33.2793, 12.6252])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_8,100364571,50
30,0.98762,0.9732,40,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[4.0, 6.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([44.1920, 12.3239])","tensor([43.7948, 12.1233])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_30,100364571,50
26,0.98916,0.971,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[2.0, 4.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([35.7650, 13.8019])","tensor([35.7371, 13.9239])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_26,100364571,50
56,0.97982,0.9697,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[2.0, 4.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([34.8866, 12.8219])","tensor([34.9065, 12.8257])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_56,100364571,50
19,0.98678,0.9711,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 1.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([20.2066, 16.0799])","tensor([20.1253, 15.9482])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_19,100364571,50
59,0.98228,0.9689,40,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[2.0, 4.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([24.7123, 16.7102])","tensor([24.6341, 16.6937])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_59,100364571,50
16,0.97518,0.9674,39,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[1.0, 1.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([24.6806, 16.3645])","tensor([24.6538, 16.0513])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_16,100364571,50
25,0.97982,0.9675,36,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 1.0]","[2.0, 4.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([22.8323, 15.2556])","tensor([22.7036, 15.2189])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_25,100364571,50
45,0.98402,0.9712,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[4.0, 6.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([29.1241, 15.5409])","tensor([29.2320, 15.6042])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_45,100364571,50
6,0.9845,0.9697,42,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[1.0, 2.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([28.3420, 15.5573])","tensor([28.1796, 15.6984])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_6,100364571,50
38,0.98494,0.9691,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.01,0,0.003,none,0,1.0,1.0,0,"tensor([29.8361, 15.7349])","tensor([29.8152, 15.6547])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_38,100364571,50
47,0.98722,0.9709,37,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[4.0, 6.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([28.7503, 14.9292])","tensor([28.7471, 15.1610])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_47,100364571,50
63,0.98722,0.9702,46,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[4.0, 6.0]",0.01,0,0.01,none,0,1.0,1.0,0,"tensor([30.6425, 15.7571])","tensor([30.3974, 15.7725])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_63,100364571,50
36,0.97092,0.9644,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[1.0, 2.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([27.0097, 15.6359])","tensor([26.8484, 15.5156])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_36,100364571,50
60,0.98216,0.9692,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[4.0, 6.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([39.5899, 12.2900])","tensor([39.7379, 12.3834])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_60,100364571,50
12,0.98174,0.9692,47,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.6, 1.2]","[4.0, 6.0]",0.003,0,0.003,none,0,1.0,1.0,0,"tensor([37.9240, 11.8068])","tensor([37.9435, 11.8752])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_12,100364571,50
49,0.9698,0.963,49,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[1.0, 1.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([20.9964, 19.6681])","tensor([20.9990, 19.5738])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_49,100364571,50
41,0.9814,0.9661,48,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[1.0, 2.0]","[2.0, 4.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([24.9217, 16.9103])","tensor([24.8673, 16.7818])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_41,100364571,50
61,0.9794,0.9672,43,[100],"('normal', None)",128,16,16,11,15,0.5,0.5,"[0.3, 0.6]","[4.0, 6.0]",0.003,0,0.01,none,0,1.0,1.0,0,"tensor([29.3764, 15.4413])","tensor([29.2438, 15.3881])","tensor([nan, nan])",128,256,0,0,mnist_biograd_rsnn_1_layers_float_transposed_loss_direct_100364571_exp_id_61,100364571,50
