id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
8,0.9921,0.9772,0.973,43,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([24.1539,  5.0075])","tensor([24.3490,  5.0434])","tensor([24.3405,  5.0429])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_980342676_exp_id_8,980342676,50
5,0.99158,0.9761,0.9741,39,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([23.3911,  5.0070])","tensor([23.1693,  4.9876])","tensor([23.1634,  4.9946])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_431267089_exp_id_5,431267089,50
4,0.99282,0.9774,0.9753,43,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([22.9626,  5.0056])","tensor([22.9885,  5.0206])","tensor([22.9627,  5.0261])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_642731685_exp_id_4,642731685,50
3,0.99128,0.9758,0.974,38,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([24.3166,  5.0080])","tensor([24.5080,  4.9905])","tensor([24.4533,  4.9932])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_712492346_exp_id_3,712492346,50
1,0.99352,0.9769,0.9759,48,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([24.7247,  5.0079])","tensor([24.8275,  5.0076])","tensor([24.8810,  5.0275])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_702546693_exp_id_1,702546693,50
2,0.9925,0.9768,0.9721,46,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([23.4592,  5.0088])","tensor([23.3623,  5.0178])","tensor([23.3374,  5.0324])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_210342476_exp_id_2,210342476,50
7,0.99216,0.9771,0.9753,37,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([24.8802,  5.0089])","tensor([24.6388,  4.9652])","tensor([24.6483,  4.9811])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_301420567_exp_id_7,301420567,50
0,0.98434,0.9762,0.9733,12,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([22.5768,  5.0021])","tensor([22.3892,  5.0188])","tensor([22.3850,  5.0360])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_0,100364571,50
9,0.99242,0.9783,0.9766,39,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([24.2524,  5.0077])","tensor([24.0368,  4.9946])","tensor([24.0261,  4.9879])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_416302576_exp_id_9,416302576,50
6,0.99108,0.9774,0.9737,33,[100],"('normal', None)",128,16,16,16,32,0.5,"[128000.0, 256000.0]","[512000.0, 1024000.0]",3.814697265625e-06,0.25,none,2048,False,"tensor([23.0706,  5.0080])","tensor([23.1179,  5.0867])","tensor([23.1374,  5.1105])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_613427981_exp_id_6,613427981,50
