id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
8,0.91948,0.9411,0.935,28,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([33.2732,  5.0255])","tensor([34.4632,  5.6216])","tensor([34.9605,  5.7308])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_980342676_exp_id_8,980342676,50
5,0.91594,0.9406,0.9332,35,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([29.7234,  5.0456])","tensor([30.7630,  5.7253])","tensor([31.2531,  5.8523])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_431267089_exp_id_5,431267089,50
4,0.91984,0.9362,0.9264,38,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([30.1046,  5.0570])","tensor([30.9741,  5.8186])","tensor([31.3755,  5.8803])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_642731685_exp_id_4,642731685,50
3,0.91802,0.9355,0.9323,49,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([31.2298,  5.0467])","tensor([31.1186,  5.0881])","tensor([31.4764,  5.1590])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_712492346_exp_id_3,712492346,50
1,0.9221,0.9407,0.9377,35,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([28.8783,  5.0554])","tensor([30.0908,  6.1522])","tensor([30.4654,  6.2964])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_702546693_exp_id_1,702546693,50
2,0.91996,0.9391,0.9359,29,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([30.7638,  5.0654])","tensor([32.6067,  6.1305])","tensor([33.1660,  6.2408])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_210342476_exp_id_2,210342476,50
7,0.92076,0.9386,0.9296,32,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([30.5211,  5.0534])","tensor([30.1854,  5.0122])","tensor([30.5453,  5.0406])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_301420567_exp_id_7,301420567,50
0,0.91932,0.9354,0.9323,45,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([30.9981,  5.0554])","tensor([32.5950,  5.4830])","tensor([33.0150,  5.6131])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_0,100364571,50
9,0.91616,0.938,0.9315,28,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([29.4021,  5.0414])","tensor([29.9460,  5.6593])","tensor([30.3340,  5.7487])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_416302576_exp_id_9,416302576,50
6,0.9171,0.9408,0.9362,31,[100],"('normal', None)",128,16,16,16,32,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001,0.001,none,2048,False,"tensor([28.4501,  5.0418])","tensor([29.0757,  5.4108])","tensor([29.3858,  5.4762])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_613427981_exp_id_6,613427981,50
