id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
60,0.97018,0.9683,0.9636,12,[100],"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,False,"tensor([28.8502,  5.0192])","tensor([28.3884,  5.0273])","tensor([27.9400,  5.0288])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_301420567_exp_id_60,301420567,50
2,0.97772,0.9713,0.971,40,[100],"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.0625,none,2,False,"tensor([25.7955,  5.0142])","tensor([25.9880,  4.9937])","tensor([25.7140,  4.9977])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_2,100364571,50
21,0.97004,0.9657,0.9615,19,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2,False,"tensor([28.1909,  5.0163])","tensor([28.4373,  4.9634])","tensor([28.0094,  4.9594])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_210342476_exp_id_21,210342476,50
3,0.97668,0.9705,0.9657,40,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.0625,none,2,False,"tensor([26.6549,  5.0075])","tensor([26.5053,  4.8833])","tensor([26.0975,  4.8812])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_3,100364571,50
6,0.97398,0.9682,0.9638,47,[100],"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.0625,none,2,False,"tensor([29.0133,  5.0138])","tensor([29.1114,  4.9752])","tensor([28.6524,  4.9738])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_100364571_exp_id_6,100364571,50
62,0.97192,0.9688,0.9661,25,[100],"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.0625,none,2,False,"tensor([28.4586,  5.0275])","tensor([28.6580,  4.9417])","tensor([28.1037,  4.9165])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_301420567_exp_id_62,301420567,50
54,0.97264,0.9684,0.9659,31,[100],"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.0625,none,2,False,"tensor([29.3020,  5.0166])","tensor([29.3590,  4.9435])","tensor([28.7544,  4.9588])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_613427981_exp_id_54,613427981,50
15,0.97176,0.9675,0.9641,36,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.0625,none,2,False,"tensor([29.3847,  5.0185])","tensor([29.5696,  5.1183])","tensor([29.0137,  5.1171])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_702546693_exp_id_15,702546693,50
11,0.97692,0.9694,0.9688,49,[100],"('random', (-1, 2))",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.0625,none,2,False,"tensor([25.9686,  5.0069])","tensor([25.8558,  5.0080])","tensor([25.5473,  5.0199])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_702546693_exp_id_11,702546693,50
26,0.97758,0.9708,0.9667,46,[100],"('normal', None)",128,8,8,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.0625,none,2,False,"tensor([25.7528,  5.0112])","tensor([25.6886,  5.1651])","tensor([25.4523,  5.1563])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_8_transposed_loss_direct_712492346_exp_id_26,712492346,50
