id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
56,0.54956,0.6569,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.03125,none,512,"tensor([20.1863,  3.5375])","tensor([18.2492,  3.8293])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_56,100364571,50
41,0.95444,0.9536,35,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.03125,none,2048,"tensor([7.6503, 4.9705])","tensor([7.5431, 4.6565])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_41,100364571,50
16,0.94764,0.9521,41,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",9.5367431640625e-07,0.125,none,2048,"tensor([5.5920, 5.1539])","tensor([5.5162, 5.2733])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_16,100364571,50
95,0.6008,0.6612,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.814697265625e-06,0.03125,none,2048,"tensor([19.1530,  3.6203])","tensor([17.6036,  3.5426])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_95,100364571,50
22,0.92188,0.9476,41,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.03125,none,2048,"tensor([5.7552, 5.0103])","tensor([5.6921, 4.0826])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_22,100364571,50
24,0.09866,0.0993,32,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.5,none,0,"tensor([9.9904e-07, 9.9904e-06])","tensor([1.4648e-05, 1.4648e-04])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_24,100364571,50
35,0.90976,0.9375,22,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.0517578125e-05,0.125,none,2048,"tensor([1.5581, 4.8468])","tensor([1.5719, 8.3249])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_35,100364571,50
75,0.55716,0.6623,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",3.0517578125e-05,0.03125,none,512,"tensor([20.6772,  3.5492])","tensor([18.5844,  3.7624])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_75,100364571,50
71,0.5548,0.5872,0,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[8000.0, 16000.0]","[32000.0, 64000.0]",9.5367431640625e-07,0.125,none,2048,"tensor([16.9240,  3.6119])","tensor([16.5631,  3.6630])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_71,100364571,50
36,0.95192,0.9628,48,[100],"('random', (-1, 2))",128,16,16,15,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",3.814697265625e-06,0.03125,none,0,"tensor([9.3955, 5.0194])","tensor([9.4585, 5.2430])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_15_transposed_loss_direct_100364571_exp_id_36,100364571,50
