id,train_acc,val_acc,test_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,test_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
42,0.9856,0.9761,0.9742,31,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,False,"tensor([24.8529,  5.0026])","tensor([24.9575,  4.9658])","tensor([24.8951,  4.9715])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_712492346_exp_id_42,712492346,50
71,0.98356,0.9766,0.9743,38,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([27.0457,  5.0125])","tensor([27.3394,  4.9677])","tensor([27.1049,  4.9812])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_431267089_exp_id_71,431267089,50
118,0.98822,0.9777,0.9745,49,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([27.8395,  5.0127])","tensor([27.8363,  5.0124])","tensor([27.7118,  5.0265])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_416302576_exp_id_118,416302576,50
100,0.99282,0.9773,0.9758,49,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([22.3513,  5.0054])","tensor([22.5652,  5.0353])","tensor([22.4874,  5.0402])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_980342676_exp_id_100,980342676,50
74,0.92694,0.9338,0.9306,49,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,False,"tensor([28.7978,  4.9247])","tensor([28.7395,  4.9552])","tensor([29.1217,  5.0097])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_613427981_exp_id_74,613427981,50
99,0.8659,0.887,0.8808,44,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,True,"tensor([72.2386,  5.0377])","tensor([71.4394,  4.9177])","tensor([72.4973,  5.0770])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_980342676_exp_id_99,980342676,50
51,0.87154,0.8946,0.8855,44,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,True,"tensor([71.6402,  5.0981])","tensor([71.3011,  5.2301])","tensor([72.1129,  5.3854])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_642731685_exp_id_51,642731685,50
101,0.99094,0.978,0.9755,40,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,True,"tensor([23.4904,  5.0082])","tensor([23.1558,  5.0279])","tensor([23.0971,  5.0278])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_980342676_exp_id_101,980342676,50
79,0.98348,0.9751,0.9744,38,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,True,"tensor([25.7030,  5.0079])","tensor([25.5545,  5.0753])","tensor([25.3178,  5.0792])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_613427981_exp_id_79,613427981,50
62,0.9246,0.933,0.9276,48,[100],"('random', (-1, 2))",128,16,16,8,16,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2,False,"tensor([31.1551,  4.9569])","tensor([31.1098,  4.9758])","tensor([31.4502,  5.0272])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_8_transposed_loss_direct_431267089_exp_id_62,431267089,50
