id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
4,0.98712,0.9771,41,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([26.9877,  5.0117])","tensor([26.6285,  4.9855])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_4,100364571,50
19,0.68132,0.6757,0,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,0,True,"tensor([12.8935,  4.8067])","tensor([9.3236, 4.0417])","tensor([18.1920, 16.7441])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_19,100364571,50
1,0.98598,0.9753,45,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,True,"tensor([26.0928,  5.0062])","tensor([26.0859,  4.9871])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_1,100364571,50
12,0.8099,0.8727,0,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,False,"tensor([16.2454,  6.6193])","tensor([11.5047,  7.2684])","tensor([19.4617, 16.3076])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_12,100364571,50
16,0.81212,0.805,0,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,False,"tensor([16.3566,  6.7668])","tensor([10.0951,  3.7562])","tensor([19.7437, 16.1955])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_16,100364571,50
6,0.98568,0.9754,35,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,0,False,"tensor([19.5366,  5.0042])","tensor([19.3622,  4.9627])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_6,100364571,50
20,0.76864,0.845,1,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,512,False,"tensor([10.2046,  6.3483])","tensor([10.4553,  8.4989])","tensor([25.8552, 16.1261])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_20,100364571,50
13,0.80772,0.8702,0,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,True,"tensor([16.2868,  6.5800])","tensor([11.4492,  6.3955])","tensor([19.4567, 16.3154])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_13,100364571,50
8,0.99102,0.9776,40,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,512,False,"tensor([27.4056,  5.0176])","tensor([27.2545,  5.0163])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_8,100364571,50
14,0.7395,0.7772,1,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,512,False,"tensor([9.2496, 5.0250])","tensor([8.4900, 5.8048])","tensor([23.1478, 16.4033])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_14,100364571,50
9,0.99002,0.9761,38,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,512,True,"tensor([28.4378,  5.0114])","tensor([28.3365,  4.9658])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_9,100364571,50
17,0.8101,0.8585,0,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,2048,True,"tensor([16.3133,  6.7398])","tensor([11.4472,  6.2161])","tensor([19.7403, 16.1982])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_17,100364571,50
3,0.98416,0.9761,47,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,512,True,"tensor([33.8444,  5.0113])","tensor([33.7338,  4.9838])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_3,100364571,50
22,0.74758,0.7988,1,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([9.9982, 5.6165])","tensor([9.4493, 6.2657])","tensor([23.4777, 16.3682])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_feedback_100364571_exp_id_22,100364571,50
0,0.98694,0.9752,47,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.000244140625,0.5,none,0,False,"tensor([24.5787,  5.0057])","tensor([24.5499,  5.0146])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_0,100364571,50
7,0.98968,0.9763,42,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,0,True,"tensor([22.8099,  5.0053])","tensor([23.0990,  5.0608])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_7,100364571,50
10,0.99218,0.9777,43,[100],"('random', (-1, 2))",128,16,16,7,15,0.5,"[500.0, 1000.0]","[2000.0, 4000.0]",0.0009765625,0.5,none,2048,False,"tensor([21.8416,  5.0038])","tensor([21.6590,  4.9885])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_16_16_7_transposed_loss_direct_100364571_exp_id_10,100364571,50
