id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
105,0.38868,0.5721,28,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.5, 125.0]","[250.0, 500.0]",3.814697265625e-06,0.0625,cosine,0,False,"tensor([22.5676,  3.8726])","tensor([22.7572,  2.6144])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_105,100364571,50
46,0.36084,0.3576,0,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[31.25, 62.5]","[125.0, 250.0]",3.814697265625e-06,0.0625,none,2,False,"tensor([91.4792,  6.5026])","tensor([97.8964,  8.8685])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_46,100364571,50
9,0.52964,0.7358,15,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[31.25, 62.5]","[125.0, 250.0]",0.000244140625,0.0625,none,0,False,"tensor([9.0534, 3.1038])","tensor([9.0155, 2.5143])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_9,100364571,50
43,0.32068,0.2818,0,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[31.25, 62.5]","[125.0, 250.0]",3.814697265625e-06,0.5,cosine,2,False,"tensor([91.9724,  6.0528])","tensor([98.6028,  3.9359])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_43,100364571,50
23,0.41684,0.6501,27,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[31.25, 62.5]","[125.0, 250.0]",3.0517578125e-05,0.5,decay,2048,False,"tensor([9.4458, 3.6872])","tensor([9.2364, 2.0146])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_23,100364571,50
26,0.41684,0.6501,27,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[31.25, 62.5]","[125.0, 250.0]",3.0517578125e-05,0.5,cosine,2048,False,"tensor([9.4458, 3.6872])","tensor([9.2364, 2.0146])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_26,100364571,50
102,0.38868,0.5721,28,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.5, 125.0]","[250.0, 500.0]",3.814697265625e-06,0.0625,decay,0,False,"tensor([22.5676,  3.8726])","tensor([22.7572,  2.6144])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_102,100364571,50
56,0.35552,0.541,27,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.5, 125.0]","[250.0, 500.0]",0.000244140625,0.5,none,2048,False,"tensor([15.7916,  1.9246])","tensor([16.2934,  2.3321])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_56,100364571,50
10,0.9146,0.9331,2,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[31.25, 62.5]","[125.0, 250.0]",0.000244140625,0.0625,none,2,False,"tensor([55.3316,  5.1867])","tensor([57.5201,  5.1310])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_10,100364571,50
91,0.36218,0.4312,0,[100],"('random', (-1, 2))",128,8,8,4,16,0.5,"[62.5, 125.0]","[250.0, 500.0]",3.814697265625e-06,0.5,none,2,False,"tensor([87.7972,  5.7634])","tensor([97.5379,  7.8418])","tensor([nan, nan])",128,256,0,0,mnist_biograd_snn_1_layers_int_8_8_4_transposed_loss_direct_100364571_exp_id_91,100364571,50
