id,snn_params,seed,epochs,train_acc,val_acc,test_acc,best_epoch,train_activations_fb,train_activations,val_activations,test_activations,fb_angle,fb_ratio,session_name
0,"{'out_layer': (0.5, 16000.0, 16000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.71662,0.813,0.7911,41,"tensor([nan, nan])","tensor([94.3454,  0.0000,  1.6920])","tensor([4.7448, 0.0000, 0.0869])","tensor([4.7600, 0.0000, 0.0828])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_0
1,"{'out_layer': (0.5, 24000.0, 24000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.68318,0.7854,0.7514,41,"tensor([nan, nan])","tensor([92.9350,  0.0000,  1.5354])","tensor([4.7015, 0.0000, 0.0738])","tensor([4.7203, 0.0000, 0.0665])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_1
2,"{'out_layer': (0.5, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.66586,0.7828,0.7461,42,"tensor([nan, nan])","tensor([91.9234,  0.0000,  1.4385])","tensor([4.6717, 0.0000, 0.0810])","tensor([4.6987, 0.0000, 0.0723])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_2
3,"{'out_layer': (0.5, 16000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.72556,0.8193,0.7978,48,"tensor([nan, nan])","tensor([94.8710,  0.0000,  1.7095])","tensor([4.7644, 0.0000, 0.0909])","tensor([4.7777, 0.0000, 0.0853])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_3
4,"{'out_layer': (0.5, 24000.0, 48000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.69526,0.803,0.7707,47,"tensor([nan, nan])","tensor([93.4472,  0.0000,  1.5088])","tensor([4.7164, 0.0000, 0.0897])","tensor([4.7357, 0.0000, 0.0824])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_4
5,"{'out_layer': (0.5, 32000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.65766,0.7636,0.7232,41,"tensor([nan, nan])","tensor([91.8084,  0.0000,  1.4427])","tensor([4.6750, 0.0000, 0.0759])","tensor([4.6933, 0.0000, 0.0674])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_5
6,"{'out_layer': (0.5, 32000.0, 32000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.7302,0.8041,0.7798,49,"tensor([nan, nan])","tensor([94.8789,  0.0000,  1.4035])","tensor([4.7595, 0.0000, 0.0934])","tensor([4.7782, 0.0000, 0.0865])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_6
7,"{'out_layer': (0.5, 48000.0, 48000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.69452,0.7869,0.7455,47,"tensor([nan, nan])","tensor([93.4082,  0.0000,  1.2652])","tensor([4.7145, 0.0000, 0.0750])","tensor([4.7336, 0.0000, 0.0685])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_7
8,"{'out_layer': (0.5, 64000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.67496,0.7716,0.7317,49,"tensor([nan, nan])","tensor([92.5777,  0.0000,  1.2009])","tensor([4.6851, 0.0000, 0.0751])","tensor([4.7102, 0.0000, 0.0724])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_8
9,"{'out_layer': (0.5, 32000.0, 64000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 16000.0, 16000.0, 1.0, -18)]}",100364571,50,0.73024,0.8193,0.7923,49,"tensor([nan, nan])","tensor([94.8682,  0.0000,  1.3999])","tensor([4.7588, 0.0000, 0.0859])","tensor([4.7776, 0.0000, 0.0799])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_9
10,"{'out_layer': (0.5, 48000.0, 96000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 24000.0, 24000.0, 1.0, -18)]}",100364571,50,0.681,0.7994,0.7664,41,"tensor([nan, nan])","tensor([92.9339,  0.0000,  1.2735])","tensor([4.6998, 0.0000, 0.0721])","tensor([4.7177, 0.0000, 0.0688])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_10
11,"{'out_layer': (0.5, 64000.0, 128000.0, 1.0, 1, -2), 'hidden_layer': [(0.5, 32000.0, 32000.0, 1.0, -18)]}",100364571,50,0.65796,0.7673,0.7244,44,"tensor([nan, nan])","tensor([92.0930,  0.0000,  1.2135])","tensor([4.6702, 0.0000, 0.0714])","tensor([4.6994, 0.0000, 0.0638])",0,0,grid_search_16bits_low_thmnist_biograd_quant_1_layers_int_16_16_16_aligned_loss_direct_100364571_exp_16bits_low_th_11
