loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,id_count
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,0.969075,0.003375060493285034,0.974375,0.00125266382827425,0.9716,0.0020281354326901566,4
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,4,False,0.968084,0.0009514620328736167,0.97366,0.0015208550226763684,0.97094,0.001880957203128283,5
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,2,False,0.965632,0.00406756929873358,0.97252,0.0032360469712289256,0.96998,0.0025123693995907368,5
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,4,False,0.96358,0.008812854248199045,0.971075,0.0037615378060929256,0.9687250000000001,0.004227193710568098,4
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,2,False,0.9619120000000001,0.002590930334841124,0.9711000000000001,0.001140175425099105,0.96804,0.0013483323032546153,5
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,2,False,0.961435,0.004670142752993021,0.9702,0.0016041612554020595,0.96785,0.002716001963671322,4
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0625,none,4,False,0.962635,0.002587630834051355,0.971275,0.0005188127472091372,0.9673499999999999,0.0016522711641858135,4
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0625,none,4,False,0.962004,0.004668520108128484,0.9705600000000001,0.0013390294993015914,0.96656,0.0027070278905101763,5
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0078125,none,4,False,0.9396760000000001,0.0024552555875102257,0.95106,0.0015978110025907093,0.94676,0.002234502181695057,5
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0078125,none,2,False,0.938648,0.0022561737521742307,0.94976,0.001350185172485601,0.9463000000000001,0.0012629330940315089,5
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0078125,none,2,False,0.93893,0.0029980727142616057,0.9489000000000001,0.0027437201023427535,0.9454666666666668,0.0022384518459566366,6
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0078125,none,2,False,0.936524,0.0029810535050549085,0.94872,0.001531992167081771,0.9448000000000001,0.0021224985276790923,5
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",3.0517578125e-05,0.0078125,none,4,False,0.93338,0.0036833408748037427,0.9462400000000001,0.0015899685531481367,0.94398,0.0018873261509341586,5
"('normal', None)",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0078125,none,4,False,0.9366233333333334,0.003927430033325429,0.9485,0.0018601075237738476,0.9435833333333333,0.0021940069887460873,6
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0078125,none,2,False,0.935272,0.0030000199999333874,0.9457000000000001,0.002403122968139562,0.94278,0.0018157643018849989,5
"('random', (-1, 2))",32,8,8,8,16,0.5,"[250.0, 500.0]","[250.0, 500.0]",0.000244140625,0.0078125,none,4,False,0.9354933333333334,0.002244768733448228,0.9456000000000001,0.003277804143020152,0.9423333333333334,0.0032166234884839495,6
