train_batch_size,test_batch_size,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,train_acc_mean,train_acc_std,val_acc_mean,val_acc_std,id_count
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,2.0,none,128,False,0.6401667484060815,0.013897599616352433,0.6465989399293286,0.013007265178924692,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.125,none,128,False,0.6406204021579206,0.0165262714785119,0.6399293286219081,0.016515996232467235,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,2.0,none,128,False,0.6166135360470819,0.015701676702117053,0.6372349823321555,0.01709547195230286,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,2.0,none,128,True,0.5960152035311428,0.015017318014949736,0.635512367491166,0.016694840650084378,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0.125,none,128,False,0.6281265326140264,0.024907462998966085,0.6312720848056538,0.018508888415087653,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,2.0,none,128,False,0.6250245218244237,0.016127235208344668,0.6295936395759718,0.01679632997788497,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,2.0,none,128,True,0.6121505640019618,0.014483920995956924,0.6280918727915195,0.018978660829590096,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.125,none,128,False,0.6267655713585091,0.012649217348332268,0.627208480565371,0.022721486129399813,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,2.0,none,128,True,0.6054928886709171,0.015005050214507092,0.6257950530035336,0.007767937751282601,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.125,none,128,True,0.5830186365865621,0.023056995953802437,0.6196996466431095,0.01218028143695313,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.125,none,128,True,0.5800760176557136,0.019957766572298526,0.6194787985865725,0.01187433458035049,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0.125,none,128,True,0.5865252574791564,0.017964647029908777,0.6142226148409894,0.003989961056761904,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.015625,none,128,True,0.4280284453163315,0.023404393968652737,0.4768551236749117,0.026449529724979128,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0.015625,none,128,True,0.4264222658165767,0.017886971900344436,0.47186395759717314,0.021916367882244076,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.015625,none,128,False,0.4581412457086807,0.01846634309993259,0.4707155477031802,0.02290492364108615,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.015625,none,128,True,0.4245218244237371,0.017344479774023893,0.4690812720848056,0.01945692407147445,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.015625,none,128,False,0.4588155958803335,0.02565370728985654,0.4683303886925795,0.028806391221578465,10
128,256,"('normal', None)",128,16,16,16,24,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0.015625,none,128,False,0.4560814124570868,0.0235637734950585,0.45733215547703177,0.019647838230139242,10
