id,snn_params,seed,epochs,train_acc,val_acc,best_epoch,train_activations_fb,train_activations,fb_angle,fb_ratio,session_name
58,"{'out_layer': (0.5, 1000.0, 2000.0, 1.0, 1.0, -2, 9.5367431640625e-07), 'hidden_layer': [(0.5, 15.625, 31.25, 1.0, -16, 3.814697265625e-06)]}",100364571,50,0.297204512015694,0.30742049469964666,48,"tensor([nan, nan])","tensor([22.3309,  0.6109])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_58
182,"{'out_layer': (0.5, 15.625, 31.25, 1.0, 1.0, -4, 9.5367431640625e-07), 'hidden_layer': [(0.5, 125.0, 250.0, 1.0, -12, 3.814697265625e-06)]}",100364571,50,0.10605689063266308,0.11263250883392226,44,"tensor([nan, nan])","tensor([35.7293,  0.0898])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_182
80,"{'out_layer': (0.5, 4000.0, 8000.0, 1.0, 1.0, -4, 9.5367431640625e-07), 'hidden_layer': [(0.5, 15.625, 31.25, 1.0, -20, 3.814697265625e-06)]}",100364571,50,0.1006620892594409,0.13206713780918727,38,"tensor([nan, nan])","tensor([92.7215,  0.5890])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_80
61,"{'out_layer': (0.5, 1000.0, 2000.0, 1.0, 1.0, -2, 9.5367431640625e-07), 'hidden_layer': [(0.5, 15.625, 31.25, 1.0, -20, 3.814697265625e-06)]}",100364571,50,0.14467876410004904,0.18065371024734983,7,"tensor([nan, nan])","tensor([39.9711,  0.2967])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_61
144,"{'out_layer': (0.5, 1000.0, 2000.0, 1.0, 1.0, 0, 9.5367431640625e-07), 'hidden_layer': [(0.5, 62.5, 125.0, 1.0, -12, 3.814697265625e-06)]}",100364571,50,0.0537027954879843,0.07773851590106007,47,"tensor([nan, nan])","tensor([13.4489,  0.0192])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_144
158,"{'out_layer': (0.5, 16000.0, 32000.0, 1.0, 1.0, -4, 9.5367431640625e-07), 'hidden_layer': [(0.5, 1000.0, 2000.0, 1.0, -16, 3.814697265625e-06)]}",100364571,50,0.17177538008827856,0.2336572438162544,36,"tensor([nan, nan])","tensor([50.2287,  0.5126])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_158
215,"{'out_layer': (0.5, 1000.0, 2000.0, 1.0, 1.0, -4, 9.5367431640625e-07), 'hidden_layer': [(0.5, 2000.0, 4000.0, 1.0, -20, 3.814697265625e-06)]}",100364571,50,0.1602501226091221,0.22084805653710246,29,"tensor([nan, nan])","tensor([76.7454,  0.4909])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_215
29,"{'out_layer': (0.5, 1000.0, 2000.0, 1.0, 1.0, -4, 9.5367431640625e-07), 'hidden_layer': [(0.5, 250.0, 500.0, 1.0, -12, 3.814697265625e-06)]}",100364571,50,0.12481608631682198,0.14266784452296818,44,"tensor([nan, nan])","tensor([27.7412,  0.5282])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_29
127,"{'out_layer': (0.5, 125.0, 250.0, 1.0, 1.0, -2, 9.5367431640625e-07), 'hidden_layer': [(0.5, 62.5, 125.0, 1.0, -12, 3.814697265625e-06)]}",100364571,50,0.05640019617459539,0.0803886925795053,0,"tensor([nan, nan])","tensor([29.2238,  0.7178])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_127
60,"{'out_layer': (0.5, 1000.0, 2000.0, 1.0, 1.0, 0, 9.5367431640625e-07), 'hidden_layer': [(0.5, 15.625, 31.25, 1.0, -20, 3.814697265625e-06)]}",100364571,50,0.2687591956841589,0.24337455830388693,39,"tensor([nan, nan])","tensor([35.0088,  0.5021])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_60
216,"{'out_layer': (0.5, 125.0, 250.0, 1.0, 1.0, 0, 9.5367431640625e-07), 'hidden_layer': [(0.5, 125.0, 250.0, 1.0, -12, 3.814697265625e-06)]}",100364571,50,0.06620892594409024,0.07464664310954064,3,"tensor([nan, nan])","tensor([23.8924,  0.0304])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_216
