id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
24,0.08803334968121629,0.10026501766784453,1,0.5,0.5,"[0.3, 0.6]","[1.5, 1.5]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([32.4672,  0.3520])","tensor([28.2784,  0.4293])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_24,100364571,50
107,0.0895046591466405,0.05035335689045936,0,0.5,0.5,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.9056,  4.2680])","tensor([13.1774,  0.3456])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_107,100364571,50
13,0.13241785188818048,0.12455830388692579,3,0.5,0.15,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([64.3418,  2.7979])","tensor([54.3158,  3.2988])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_13,100364571,50
131,0.12334477685139775,0.14708480565371024,0,0.5,0.5,"[2.0, 4.0]","[0.3, 0.6]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([25.0543,  7.8787])","tensor([23.8517,  7.0711])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_131,100364571,50
150,0.4489946051986268,0.42402826855123676,5,0.5,0.15,"[2.0, 4.0]","[0.7, 0.7]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([25.8694, 26.6802])","tensor([28.1004, 27.9414])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_150,100364571,50
30,0.17153016184404118,0.19081272084805653,1,0.5,0.15,"[0.3, 0.6]","[1.5, 1.5]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.3615,  1.6952])","tensor([28.3049,  2.0461])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_30,100364571,50
109,0.1722658165767533,0.1974381625441696,1,0.5,0.15,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.7250,  9.8240])","tensor([27.6343, 12.6013])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_109,100364571,50
46,0.2286660127513487,0.21201413427561838,1,0.5,0.15,"[0.5, 1.0]","[0.5, 1.0]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.7803,  8.8654])","tensor([25.3895, 12.0355])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_46,100364571,50
124,0.20868072584600295,0.24425795053003532,3,0.5,0.15,"[1.5, 1.5]","[1.5, 1.5]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.3724,  4.3369])","tensor([27.1297,  6.0620])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_124,100364571,50
10,0.11880823933300638,0.15503533568904593,0,0.5,0.5,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.2791,  4.8064])","tensor([29.5659,  7.2529])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_10,100364571,50
148,0.3721186856302109,0.338339222614841,5,0.5,0.15,"[2.0, 4.0]","[0.7, 0.7]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.3070, 26.7031])","tensor([27.7008, 26.7633])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_148,100364571,50
118,0.21971554683668465,0.21996466431095407,1,0.5,0.15,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.4338,  9.8038])","tensor([26.9493, 13.1015])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_118,100364571,50
119,0.10446297204512016,0.13118374558303886,0,0.5,0.15,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([54.3919,  1.0082])","tensor([47.9919,  0.8419])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_119,100364571,50
83,0.14394310936733692,0.16342756183745583,2,0.5,0.5,"[0.7, 0.7]","[0.7, 0.7]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([51.2494,  1.0039])","tensor([48.0027,  1.0911])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_83,100364571,50
34,0.10532123589995096,0.1338339222614841,0,0.5,0.5,"[0.5, 1.0]","[0.3, 0.6]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.4124,  4.8420])","tensor([28.4868,  2.9511])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_34,100364571,50
115,0.13756743501716528,0.1704946996466431,1,0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([48.6743,  1.9645])","tensor([39.0422,  2.4024])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_115,100364571,50
89,0.04683668464933791,0.052120141342756186,0,0.5,0.5,"[0.7, 0.7]","[1.5, 1.5]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.9218,  0.1153])","tensor([23.5165,  0.0891])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_89,100364571,50
75,0.08766552231486023,0.11086572438162544,0,0.5,0.5,"[0.7, 0.7]","[0.5, 1.0]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.7265,  3.3552])","tensor([36.5561,  0.8692])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_75,100364571,50
100,0.4990191270230505,0.4704063604240283,12,0.5,0.15,"[1.5, 1.5]","[0.3, 0.6]",0.001,0.001,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.2694, 32.2187])","tensor([33.8584, 33.0600])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_100,100364571,50
114,0.19936243256498284,0.19081272084805653,1,0.5,0.5,"[1.5, 1.5]","[0.7, 0.7]",0.001,0.001,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.6176,  7.6333])","tensor([29.1425, 10.2858])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_114,100364571,50
57,0.04843060323688082,0.05697879858657244,0,0.5,0.5,"[0.5, 1.0]","[1.5, 1.5]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.7256,  0.1187])","tensor([25.9069,  0.1281])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_good/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_good_57,100364571,50
