id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
3,0.05137322216772928,0.06492932862190813,1,[256],"('random', [-1, 2])",128,16,10,7,11,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",1.52587890625e-05,0,0.125,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.5933, 0.0129])","tensor([0.8202, 0.0789])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_10_7_100364571_exp_id_3,100364571,50
62,0.592815105443845,0.5976148409893993,32,[256],"('random', [-1, 2])",128,16,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",1.52587890625e-05,0,0.5,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.4202,  5.4589])","tensor([30.4635,  6.2976])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_11_100364571_exp_id_62,100364571,50
189,0.5863168219715547,0.6024734982332155,48,[256],"('random', [-1, 2])",128,32,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.125,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.1659,  5.7040])","tensor([30.0982,  5.6417])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_32_16_11_100364571_exp_id_189,100364571,50
64,0.05321235899950957,0.05786219081272085,11,[256],"('random', [-1, 2])",128,20,10,7,11,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.7972, 0.1001])","tensor([0.8573, 0.1608])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_20_10_7_100364571_exp_id_64,100364571,50
128,0.05333496812162825,0.06139575971731449,45,[256],"('random', [-1, 2])",128,32,10,7,11,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.8438, 0.0948])","tensor([0.9428, 0.0990])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_32_10_7_100364571_exp_id_128,100364571,50
40,0.0648602256007847,0.08171378091872791,7,[256],"('random', [-1, 2])",128,16,14,11,11,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.0740, 2.2406])","tensor([0.0856, 3.1264])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_14_11_100364571_exp_id_40,100364571,50
127,0.6021333987248652,0.5693462897526502,49,[256],"('random', [-1, 2])",128,20,16,11,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",1.52587890625e-05,0,0.125,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.1425,  5.7797])","tensor([29.5824,  5.9139])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_20_16_11_100364571_exp_id_127,100364571,50
81,0.05259931338891614,0.06802120141342756,4,[256],"('random', [-1, 2])",128,20,12,7,11,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.125,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([1.2159, 0.0181])","tensor([1.1948, 0.0343])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_20_12_7_100364571_exp_id_81,100364571,50
0,0.049288867091711625,0.053886925795053005,8,[256],"('random', [-1, 2])",128,16,10,7,11,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.4949, 1.5738])","tensor([0.6420, 2.1783])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_10_7_100364571_exp_id_0,100364571,50
69,0.3391368317802845,0.38074204946996465,43,[256],"('random', [-1, 2])",128,20,10,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.125,0,500,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.5900,  4.8826])","tensor([26.9917,  5.2743])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_20_10_7_100364571_exp_id_69,100364571,50
