id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
10,0.7188572829818538,0.5812720848056537,36,0.15,0.0625,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.7662, 27.4759])","tensor([44.0465, 28.3831])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_10,100364571,50
11,0.7188572829818538,0.5812720848056537,36,0.15,0.015625,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.7662, 27.4759])","tensor([44.0465, 28.3831])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_11,100364571,50
20,0.7639774399215301,0.6700530035335689,34,0.5,0.015625,"[0.3, 0.6]","[1.5, 1.5]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.8620, 24.9079])","tensor([43.9813, 25.2703])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_20,100364571,50
75,0.8099558607160373,0.6117491166077739,49,0.15,0.5,"[1.5, 1.5]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.1450, 22.8504])","tensor([33.8107, 23.2003])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_75,100364571,50
70,0.694212849435998,0.5675795053003534,36,0.15,0.0625,"[0.7, 0.7]","[1.5, 1.5]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.8767, 27.6975])","tensor([40.4794, 28.3741])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_70,100364571,50
82,0.7746444335458558,0.6060070671378092,45,0.15,0.0625,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.9651, 23.6002])","tensor([34.6402, 23.8681])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_82,100364571,50
4,0.7512260912211869,0.590547703180212,42,0.15,0.0625,"[0.3, 0.6]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.6277, 25.9566])","tensor([43.9000, 26.5230])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_4,100364571,50
50,0.8219715546836684,0.666077738515901,42,0.5,0.015625,"[0.7, 0.7]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.7108, 19.8342])","tensor([41.0278, 20.3323])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_50,100364571,50
36,0.8005149583128984,0.6607773851590106,36,0.5,0.5,"[0.5, 1.0]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.2169, 20.9806])","tensor([41.5721, 20.9901])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_36,100364571,50
69,0.694212849435998,0.5675795053003534,36,0.15,0.5,"[0.7, 0.7]","[1.5, 1.5]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.8767, 27.6975])","tensor([40.4794, 28.3741])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_69,100364571,50
17,0.7247425208435507,0.6029151943462897,36,0.15,0.015625,"[0.3, 0.6]","[0.7, 0.7]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.6697, 27.3416])","tensor([42.9589, 27.9800])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_17,100364571,50
30,0.801863658656204,0.6704946996466431,32,0.5,0.5,"[0.5, 1.0]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.8971, 21.8444])","tensor([42.2217, 22.3273])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_30,100364571,50
3,0.7512260912211869,0.590547703180212,42,0.15,0.5,"[0.3, 0.6]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.6277, 25.9566])","tensor([43.9000, 26.5230])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_3,100364571,50
27,0.7503678273663561,0.5949646643109541,36,0.15,0.5,"[0.5, 1.0]","[0.3, 0.6]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.8924, 25.8338])","tensor([41.3823, 26.1355])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_27,100364571,50
80,0.8478420794507111,0.7036219081272085,48,0.5,0.015625,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.1012, 20.7889])","tensor([38.4723, 21.4581])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_80,100364571,50
9,0.7188572829818538,0.5812720848056537,36,0.15,0.5,"[0.3, 0.6]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.7662, 27.4759])","tensor([44.0465, 28.3831])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_9,100364571,50
