id,train_acc,val_acc,best_epoch,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
304,0.6667484060814125,0.5896643109540636,48,0.5,0.5,"[2.0, 4.0]","[0.7, 1.4]",0.001,0.01,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.5418, 33.8298])","tensor([39.1371, 33.9824])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_304,100364571,50
193,0.771824423737126,0.6559187279151943,47,0.5,0.5,"[2.0, 2.0]","[1.0, 1.0]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.3520, 25.3811])","tensor([36.8021, 25.7544])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_193,100364571,50
136,0.8571603727317313,0.7084805653710248,48,0.5,0.5,"[1.5, 3.0]","[0.7, 1.4]",0.001,0.01,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.7046, 20.2593])","tensor([37.9956, 21.0337])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_136,100364571,50
0,0.8478420794507111,0.7036219081272085,48,0.5,0.5,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.1012, 20.7889])","tensor([38.4723, 21.4581])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_0,100364571,50
31,0.7629965669445806,0.6554770318021201,48,0.5,0.5,"[1.5, 1.5]","[1.0, 1.0]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.9108, 25.4414])","tensor([39.5717, 26.0966])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_31,100364571,50
321,0.6516674840608141,0.5600706713780919,48,0.5,0.15,"[2.0, 4.0]","[0.7, 1.4]",0.001,0.1,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.1777, 33.4929])","tensor([40.7414, 33.6548])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_321,100364571,50
99,0.8418342324668955,0.6872791519434629,41,0.5,0.15,"[1.5, 3.0]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.7529, 19.9461])","tensor([37.0858, 20.0728])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_99,100364571,50
140,0.775380088278568,0.6417844522968198,48,0.5,0.5,"[1.5, 3.0]","[0.7, 1.4]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.7638, 26.1442])","tensor([39.2640, 26.6167])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_140,100364571,50
276,0.6716527709661598,0.5795053003533569,49,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0.1,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.7393, 31.0671])","tensor([40.1132, 31.6320])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_276,100364571,50
109,0.8431829328102011,0.7040636042402827,36,0.5,0.5,"[1.5, 3.0]","[1.0, 1.0]",0.001,0.01,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.6698, 21.4586])","tensor([37.2444, 22.1261])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_109,100364571,50
122,0.7884992643452673,0.6629858657243817,48,0.5,0.25,"[1.5, 3.0]","[1.0, 1.0]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.3229, 26.1250])","tensor([39.8669, 26.6775])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_122,100364571,50
63,0.795242766061795,0.6815371024734982,32,0.5,0.25,"[1.5, 1.5]","[0.7, 1.4]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.9559, 22.6163])","tensor([38.5073, 23.3388])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_63,100364571,50
171,0.8414664051005395,0.708922261484099,42,0.5,0.25,"[2.0, 2.0]","[0.5, 1.0]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.6314, 20.9802])","tensor([35.9567, 21.9820])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_171,100364571,50
309,0.7759931338891614,0.6360424028268551,48,0.5,0.25,"[2.0, 4.0]","[0.7, 1.4]",0.001,0.1,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.0036, 25.0649])","tensor([40.5303, 25.6349])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_309,100364571,50
225,0.8027219225110348,0.6537102473498233,32,0.5,0.25,"[2.0, 2.0]","[0.7, 1.4]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.8852, 22.4029])","tensor([37.4354, 23.2633])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_225,100364571,50
123,0.669691025012261,0.6015901060070671,48,0.5,0.25,"[1.5, 3.0]","[1.0, 1.0]",0.001,0.1,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.4636, 31.2016])","tensor([40.7489, 31.8114])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_123,100364571,50
319,0.7699852869053457,0.6492932862190812,49,0.5,0.15,"[2.0, 4.0]","[0.7, 1.4]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.9729, 25.4835])","tensor([38.5452, 25.7990])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_319,100364571,50
296,0.6690779794016675,0.5812720848056537,48,0.5,0.15,"[2.0, 4.0]","[1.0, 1.0]",0.001,0.003,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.4919, 30.0740])","tensor([39.1658, 30.7228])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_296,100364571,50
218,0.8461255517410495,0.6943462897526502,42,0.5,0.5,"[2.0, 2.0]","[0.7, 1.4]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.4694, 21.3564])","tensor([35.9460, 21.9302])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_218,100364571,50
40,0.7629965669445806,0.6554770318021201,48,0.5,0.25,"[1.5, 1.5]","[1.0, 1.0]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.9108, 25.4414])","tensor([39.5717, 26.0966])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_40,100364571,50
66,0.7442373712604218,0.6276501766784452,47,0.5,0.25,"[1.5, 1.5]","[0.7, 1.4]",0.001,0.1,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.7856, 26.7332])","tensor([40.2334, 26.8655])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_66,100364571,50
15,0.6525257479156449,0.5640459363957597,47,0.5,0.25,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.1,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.1079, 31.6030])","tensor([39.5779, 32.1209])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_15,100364571,50
219,0.741417361451692,0.6289752650176679,46,0.5,0.5,"[2.0, 2.0]","[0.7, 1.4]",0.001,0.1,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.9947, 26.4584])","tensor([38.4809, 26.6552])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_219,100364571,50
74,0.8543403629230014,0.6912544169611308,48,0.5,0.15,"[1.5, 1.5]","[0.7, 1.4]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.0833, 21.0501])","tensor([37.5244, 21.7002])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_74,100364571,50
12,0.7880088278567925,0.6364840989399293,49,0.5,0.25,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.1,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([39.3780, 24.3576])","tensor([39.9140, 24.7382])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_12,100364571,50
302,0.7620156939676312,0.657243816254417,47,0.5,0.5,"[2.0, 4.0]","[0.7, 1.4]",0.001,0.003,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.3216, 26.2139])","tensor([37.8528, 26.4743])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_302,100364571,50
153,0.8002697400686611,0.678886925795053,32,0.5,0.15,"[1.5, 3.0]","[0.7, 1.4]",0.001,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.9546, 22.2153])","tensor([38.3336, 22.7540])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_153,100364571,50
292,0.7848209906817067,0.6700530035335689,48,0.5,0.15,"[2.0, 4.0]","[1.0, 1.0]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.7106, 26.2382])","tensor([38.4613, 26.9902])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_292,100364571,50
322,0.6667484060814125,0.5896643109540636,48,0.5,0.15,"[2.0, 4.0]","[0.7, 1.4]",0.001,0.01,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.5418, 33.8298])","tensor([39.1371, 33.9824])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_322,100364571,50
150,0.67631191760667,0.5697879858657244,48,0.5,0.25,"[1.5, 3.0]","[0.7, 1.4]",0.001,0.1,0.0004,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.2333, 31.9054])","tensor([40.5419, 32.2492])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_150,100364571,50
238,0.771824423737126,0.6263250883392226,49,0.5,0.15,"[2.0, 2.0]","[0.7, 1.4]",0.001,0.01,0.001,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.8505, 26.2383])","tensor([37.5337, 26.6821])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_238,100364571,50
2,0.8674595389897009,0.7128975265017667,48,0.5,0.5,"[1.5, 1.5]","[0.5, 1.0]",0.001,0.003,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.1873, 19.8831])","tensor([36.5740, 20.7197])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_vdecay_2/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_vdecay_2_2,100364571,50
