id,train_acc,val_acc,best_epoch,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
11,0.31436978911230995,0.32420494699646646,47,0.5,"[250.0, 500.0]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([12.5343,  0.6891])","tensor([12.1651,  0.7154])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_11,100364571,50
40,0.24619911721432075,0.2663427561837456,45,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([1.2133, 0.5492])","tensor([1.1565, 0.6821])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_40,100364571,50
73,0.23688082393330065,0.2592756183745583,30,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([13.1648,  0.3438])","tensor([12.5641,  0.4512])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_73,100364571,50
34,0.3192741539970574,0.33171378091872794,47,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.1596, 0.5455])","tensor([3.9329, 0.7777])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_34,100364571,50
67,0.21983815595880332,0.23719081272084805,47,0.5,"[250.0, 500.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([21.1491,  0.2835])","tensor([20.1994,  0.2518])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_67,100364571,50
3,0.2601765571358509,0.2879858657243816,43,0.5,"[5, 10]","[1000.0, 2000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([23.2410,  0.6054])","tensor([22.3934,  0.6514])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_3,100364571,50
36,0.21971554683668465,0.2628091872791519,45,0.5,"[2000.0, 4000.0]","[16000.0, 32000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([7.3137, 0.5090])","tensor([7.2625, 0.4921])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_36,100364571,50
70,0.1987493869543894,0.23763250883392226,32,0.5,"[1000.0, 2000.0]","[250.0, 500.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([2.5090, 0.3269])","tensor([2.2024, 0.4420])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_70,100364571,50
27,0.22768513977439922,0.2583922261484099,45,0.5,"[1000.0, 2000.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([23.0887,  0.5055])","tensor([23.1181,  0.5232])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_int_27,100364571,50
69,0.13523786169691024,0.1793286219081272,37,0.5,"[250.0, 500.0]","[64000, 128000]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([36.1815,  0.2658])","tensor([35.5357,  0.3178])","tensor([nan, nan])",0,0,grid_search_shd_int/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_69,100364571,50
