id,train_acc,val_acc,best_epoch,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
73,0.26508092202059835,0.284452296819788,32,0.5,"[1000.0, 2000.0]","[1000.0, 2000.0]",-16,-2,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([14.7195,  0.2671])","tensor([14.2911,  0.3519])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_73,100364571,50
80,0.23810691515448748,0.24469964664310953,38,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",-16,0,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([5.0630, 0.2821])","tensor([4.5897, 0.3512])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_80,100364571,50
43,0.3106915154487494,0.284452296819788,46,0.5,"[16000.0, 32000.0]","[1000.0, 2000.0]",-16,-2,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([15.2082,  0.3650])","tensor([15.5185,  0.3124])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_43,100364571,50
24,0.24264345267287887,0.2760600706713781,26,0.5,"[1000.0, 2000.0]","[2000.0, 4000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([9.6517, 0.3367])","tensor([9.1006, 0.5603])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_24,100364571,50
32,0.17925453653751838,0.2588339222614841,19,0.5,"[2000.0, 4000.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([4.2937, 0.3440])","tensor([4.0770, 0.4211])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_32,100364571,50
82,0.2108876900441393,0.2667844522968198,25,0.5,"[2000.0, 4000.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([4.9005, 0.2613])","tensor([4.4073, 0.3802])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_82,100364571,50
84,0.2978175576262874,0.33171378091872794,41,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",-16,0,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([10.2930,  0.2826])","tensor([10.0577,  0.3438])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_84,100364571,50
87,0.24129475232957331,0.2575088339222615,44,0.5,"[2000.0, 4000.0]","[16000.0, 32000.0]",-16,-2,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([18.3052,  0.2296])","tensor([18.4061,  0.2333])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_87,100364571,50
51,0.09673859735164296,0.12455830388692579,34,0.5,"[5, 10]","[250.0, 500.0]",-16,-2,"{'data_type': 'frame', 'duration': 50, 'n_bins': 4, 'frames': 20, 'split_by': 'time'}","tensor([23.8822,  0.1405])","tensor([22.1606,  0.1783])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_51,100364571,50
12,0.25306522805296716,0.2831272084805654,24,0.5,"[250.0, 500.0]","[1000.0, 2000.0]",-16,0,"{'data_type': 'frame', 'duration': None, 'n_bins': 1, 'frames': 20, 'split_by': 'time'}","tensor([10.5616,  0.3555])","tensor([9.4343, 0.4619])","tensor([nan, nan])",0,0,grid_search_shd_int_data/mnist_biograd_quant_1_layers_int_16_16_8_transposed_loss_direct_frames_20_time_100364571_exp_shd_int_data_12,100364571,50
