id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer_0,hidden_layer_1,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
63,0.2173859735164296,0.2597173144876325,3,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.2, 0.5]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.2342, 11.8735,  4.1319])","tensor([38.5270, 13.3813,  6.6675])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_63,100364571,50
68,0.3827856792545365,0.3851590106007067,6,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.5, 1.0]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.5381, 12.5643, 25.3156])","tensor([37.6814, 14.0219, 26.0919])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_68,100364571,50
87,0.0534575772437469,0.0569787985865724,4,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.7, 0.7]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.6671e+01, 2.0076e+00, 3.3065e-02])","tensor([50.5432,  3.1144,  0.1486])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_87,100364571,50
51,0.3648847474252084,0.3873674911660777,4,"[256, 256]",0.5,0.5,"[0.5, 1.0]","[0.5, 1.0]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.9433, 22.5499, 17.5405])","tensor([45.8008, 25.0180, 20.8634])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_51,100364571,50
31,0.3886709171162334,0.4085689045936396,4,"[256, 256]",0.5,0.5,"[0.7, 0.7]","[0.5, 1.0]","[1.0, 2.0]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.8266, 23.6971, 21.0218])","tensor([37.2612, 25.6638, 24.6478])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_31,100364571,50
61,0.3565473271211378,0.3745583038869258,6,"[256, 256]",0.5,0.5,"[1.5, 1.5]","[0.2, 0.5]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.3678, 11.1335, 27.4246])","tensor([38.8075, 12.2845, 29.1959])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_61,100364571,50
80,0.1397743992153016,0.1740282685512367,8,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.2, 0.5]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([52.4295,  2.3126,  6.9229])","tensor([57.4453,  2.9451, 10.9696])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_80,100364571,50
5,0.4861451692005885,0.4730565371024735,6,"[256, 256]",0.5,0.5,"[0.2, 0.5]","[0.7, 0.7]","[0.3, 0.6]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.3378, 22.7630, 27.4804])","tensor([35.8835, 23.0732, 27.2071])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_5,100364571,50
88,0.1510544384502207,0.1925795053003533,6,"[256, 256]",0.5,0.5,"[2.0, 4.0]","[0.5, 1.0]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.1481,  1.9402,  5.1440])","tensor([50.7579,  2.5652,  8.5758])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_88,100364571,50
36,0.4361206473761648,0.4553886925795053,6,"[256, 256]",0.5,0.5,"[0.7, 0.7]","[2.0, 4.0]","[0.3, 0.3]","[0.003, 0.003]","[0.001, 0.003]",0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.8735, 12.0198, 20.5133])","tensor([38.2196, 12.3903, 20.9393])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_float_2_layers_v0/shd_biograd_rec_2_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_float_2_layers_v0_36,100364571,50
