id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
6,0.6617214320745464,0.5817137809187279,47,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.1726, 29.2866])","tensor([35.3833, 30.1296])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_702546693_exp_id_6,702546693,50
28,0.8661108386463953,0.7049469964664311,49,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.0507, 20.2342])","tensor([36.6464, 20.8103])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_301420567_exp_id_28,301420567,50
27,0.6834232466895537,0.5724381625441696,45,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([32.6273, 26.9384])","tensor([33.1750, 27.7469])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_613427981_exp_id_27,613427981,50
4,0.8387690044139284,0.7120141342756183,38,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.3687, 22.3978])","tensor([36.4129, 22.5818])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_702546693_exp_id_4,702546693,50
25,0.8614516920058852,0.7120141342756183,49,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.7643, 20.3327])","tensor([34.1898, 20.7001])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_613427981_exp_id_25,613427981,50
10,0.6585335948994605,0.5923144876325088,31,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.0244, 28.7916])","tensor([37.5648, 29.6796])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_210342476_exp_id_10,210342476,50
16,0.8387690044139284,0.7146643109540636,35,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.4391, 22.1603])","tensor([34.7526, 22.2806])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_642731685_exp_id_16,642731685,50
13,0.8475968612064737,0.7000883392226148,46,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.7350, 21.2996])","tensor([36.0866, 21.3696])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_712492346_exp_id_13,712492346,50
21,0.863903874448259,0.7022968197879859,49,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,none,0,1.0,1.0,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.6025, 20.7927])","tensor([36.7694, 21.0826])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_431267089_exp_id_21,431267089,50
26,0.6765571358509073,0.5790636042402827,36,[256],"('random', [-1, 2])",128,16,16,8,16,0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.001,0,0.003,decay,0,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.5828, 28.2925])","tensor([33.9974, 29.1266])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_float_613427981_exp_id_26,613427981,50
