id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
600,0.4822216772927906,0.5017667844522968,31,[256],"('normal', None)",128,16,16,16,32,0.5,0.5,"[1024000.0, 2048000.0]","[819200.0, 819200.0]",0.000244140625,0,0.125,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.4713,  5.2553])","tensor([41.4739,  5.2485])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_600,100364571,50
227,0.47756253065228055,0.5825971731448764,48,[256],"('normal', None)",512,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",0.001953125,0,0.125,none,2048,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.3049,  5.2030])","tensor([30.6912,  4.5123])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_227,100364571,50
622,0.4216527709661599,0.46068904593639576,38,[256],"('normal', None)",128,16,16,16,32,0.5,0.5,"[1024000.0, 2048000.0]","[819200.0, 819200.0]",3.0517578125e-05,0,0.125,none,2048,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.4556,  5.4269])","tensor([40.4008,  5.7711])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_622,100364571,50
128,0.053948013732221675,0.05256183745583039,4,[256],"('normal', None)",128,16,16,16,20,0.5,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.814697265625e-06,0,2.0,none,512,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.5781, 1.6230])","tensor([0.6352, 1.7603])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_128,100364571,50
72,0.05407062285434036,0.05697879858657244,16,[256],"('normal', None)",128,16,16,16,20,0.5,0.5,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.001953125,0,2.0,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.4759, 1.2404])","tensor([0.5332, 1.2934])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_72,100364571,50
394,0.24877390877881314,0.3330388692579505,42,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[1024000.0, 2048000.0]","[819200.0, 819200.0]",0.000244140625,0,0.015625,none,2048,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([21.7026,  5.1302])","tensor([23.1079,  5.3500])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_394,100364571,50
261,0.560078469838156,0.5750883392226148,43,[256],"('normal', None)",512,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",3.0517578125e-05,0,0.125,none,512,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.7827,  5.8863])","tensor([38.9376,  5.6124])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_261,100364571,50
382,0.39480137322216774,0.44787985865724383,10,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[1024000.0, 2048000.0]","[819200.0, 819200.0]",0.000244140625,0,2.0,none,2048,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([12.6421,  5.1542])","tensor([13.5711,  6.5552])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_382,100364571,50
186,0.04977930358018637,0.04549469964664311,0,[256],"('normal', None)",128,16,16,16,20,0.5,0.5,"[1024000.0, 2048000.0]","[819200.0, 819200.0]",3.0517578125e-05,0,0.125,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([0.0165, 0.0000])","tensor([0.0223, 0.0000])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_186,100364571,50
500,0.44421284943599804,0.44302120141342755,48,[256],"('normal', None)",128,16,16,16,32,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",3.814697265625e-06,0,0.015625,none,512,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.0612,  5.8255])","tensor([41.1457,  5.8224])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_500,100364571,50
