id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
0,0.625551741049534,0.6267667844522968,23,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[128000.0, 256000.0]","[102400.0, 102400.0]",3.0517578125e-05,0,2,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.3296,  5.8633])","tensor([40.8947,  6.2760])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_0,100364571,50
4,0.609980382540461,0.6267667844522968,25,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[128000.0, 256000.0]","[102400.0, 102400.0]",4.76837158203125e-07,0,2,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.0055,  5.9599])","tensor([40.6316,  6.2819])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_4,100364571,50
3,0.6525257479156449,0.6347173144876325,43,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[128000.0, 256000.0]","[102400.0, 102400.0]",3.814697265625e-06,0,8,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.8851,  5.8818])","tensor([41.0861,  6.2876])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_3,100364571,50
9,0.580308974987739,0.6201413427561837,19,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",3.814697265625e-06,0,8,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.8245,  5.7295])","tensor([34.6105,  5.8922])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_9,100364571,50
1,0.6148847474252085,0.6068904593639576,48,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[128000.0, 256000.0]","[102400.0, 102400.0]",3.0517578125e-05,0,8,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([44.0363,  5.9335])","tensor([44.5170,  5.8356])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_1,100364571,50
6,0.6736145169200588,0.648851590106007,48,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",3.0517578125e-05,0,2,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.6074,  5.7238])","tensor([36.2837,  6.0435])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_6,100364571,50
8,0.6451692005885238,0.6775618374558304,30,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",3.814697265625e-06,0,2,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.0281,  5.7872])","tensor([35.9745,  6.2814])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_8,100364571,50
10,0.6483570377636096,0.6475265017667845,27,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",4.76837158203125e-07,0,2,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.5122,  5.8052])","tensor([37.2582,  6.3356])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_10,100364571,50
2,0.6356056890632663,0.648851590106007,27,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[128000.0, 256000.0]","[102400.0, 102400.0]",3.814697265625e-06,0,2,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.0730,  5.9677])","tensor([41.9223,  6.4847])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_2,100364571,50
7,0.6511770475723394,0.6713780918727915,48,[256],"('normal', None)",128,16,16,16,24,0.5,0.5,"[256000.0, 512000.0]","[204800.0, 204800.0]",3.0517578125e-05,0,8,none,128,1.0,1.0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.4988,  5.6968])","tensor([37.6506,  6.0340])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_16_100364571_exp_id_7,100364571,50
