id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
58,0.13952918097106426,0.16519434628975266,49,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([24.7688,  0.4917])","tensor([20.3405,  0.4249])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_58,100364571,50
61,0.05186365865620402,0.054328621908127206,46,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.0403,  0.2119])","tensor([20.0393,  0.5004])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_61,100364571,50
12,0.22584600294261892,0.1965547703180212,40,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.2572,  0.4822])","tensor([25.4230,  0.4796])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_12,100364571,50
60,0.11218734673859736,0.1157243816254417,44,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.1771,  0.3704])","tensor([20.1858,  0.2945])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_60,100364571,50
42,0.17986758214811183,0.1501766784452297,44,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.6199,  0.2952])","tensor([32.0473,  0.2854])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_42,100364571,50
37,0.1714075527219225,0.14575971731448764,43,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,9.313225746154785e-10,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.6438,  0.2825])","tensor([32.0518,  0.2830])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_37,100364571,50
38,0.1596370769985287,0.1519434628975265,25,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,0.25,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.9302,  0.2748])","tensor([32.2850,  0.2950])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_38,100364571,50
35,0.17876410004904364,0.15282685512367492,46,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,3.725290298461914e-09,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.2439,  0.2807])","tensor([28.0712,  0.3111])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_35,100364571,50
43,0.1569396763119176,0.14929328621908128,40,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.6690,  0.3010])","tensor([30.7196,  0.3391])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_43,100364571,50
51,0.1101029916625797,0.17358657243816256,45,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,3.725290298461914e-09,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.1468,  0.4721])","tensor([22.5620,  0.8610])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_51,100364571,50
48,0.11893084845512505,0.1784452296819788,27,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,5.960464477539063e-08,0.25,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([22.7815,  0.4585])","tensor([21.5751,  0.6628])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_48,100364571,50
52,0.10826385483079941,0.14885159010600707,45,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,0.25,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.2831,  0.4927])","tensor([23.7539,  0.6012])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_52,100364571,50
27,0.13842569887199607,0.17491166077738515,46,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.4262,  0.4967])","tensor([20.4329,  0.4372])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_27,100364571,50
40,0.17692496321726336,0.16166077738515902,44,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,5.960464477539063e-08,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.8446,  0.3001])","tensor([22.0090,  0.3119])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_40,100364571,50
17,0.17471799901912702,0.1872791519434629,32,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,5.960464477539063e-08,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([23.9337,  0.4835])","tensor([23.7016,  0.3618])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_17,100364571,50
55,0.13119176066699362,0.15901060070671377,45,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,2.3283064365386963e-10,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.3687,  0.4438])","tensor([28.2370,  0.2928])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_55,100364571,50
9,0.2167729279058362,0.19832155477031801,26,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,5.960464477539063e-08,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.1517,  0.4635])","tensor([26.9071,  0.5115])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_9,100364571,50
6,0.23945561549779304,0.21201413427561838,32,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,0.25,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.5782,  0.4336])","tensor([35.7501,  0.4582])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_6,100364571,50
15,0.21775380088278568,0.20053003533568906,40,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([48.8454,  0.4771])","tensor([34.2358,  0.4659])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_15,100364571,50
19,0.19580676802354094,0.1855123674911661,39,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,3.725290298461914e-09,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.7515,  0.5103])","tensor([23.8556,  0.4144])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_19,100364571,50
5,0.2246199117214321,0.18992932862190812,24,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,9.313225746154785e-10,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([44.4467,  0.4355])","tensor([34.6218,  0.4578])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_5,100364571,50
62,0.11378126532614026,0.12102473498233215,47,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,2.3283064365386963e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.2071,  0.4377])","tensor([20.2089,  0.2787])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_62,100364571,50
30,0.1553457577243747,0.17226148409893993,26,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,2.3283064365386963e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.3787,  0.4868])","tensor([30.3897,  0.4212])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_30,100364571,50
11,0.19482589504659148,0.17579505300353357,26,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.8708,  0.4399])","tensor([28.1709,  0.4550])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_11,100364571,50
45,0.15914664051005395,0.15724381625441697,45,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.7523,  0.3375])","tensor([30.8145,  0.5016])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_45,100364571,50
53,0.11071603727317313,0.14487632508833923,26,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.8359,  0.3846])","tensor([28.5157,  0.2065])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_53,100364571,50
2,0.23013732221677294,0.19169611307420495,33,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,3.725290298461914e-09,0.25,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.5319,  0.4330])","tensor([25.6716,  0.4608])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_2,100364571,50
10,0.22388425698871997,0.21598939929328623,44,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([35.6762,  0.4802])","tensor([25.7728,  0.3992])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_10,100364571,50
56,0.16159882295242767,0.17579505300353357,46,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,5.960464477539063e-08,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.7474,  0.4824])","tensor([20.7693,  0.3574])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_56,100364571,50
54,0.11745953898970084,0.15106007067137808,45,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,2.3283064365386963e-10,0.25,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.7495,  0.4803])","tensor([24.0816,  0.2123])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_54,100364571,50
44,0.17042667974497303,0.14752650176678445,35,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.6306,  0.2821])","tensor([31.8036,  0.2956])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_44,100364571,50
29,0.14541441883276116,0.19169611307420495,46,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.3441,  0.4897])","tensor([20.3451,  0.7158])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_29,100364571,50
14,0.2253555664541442,0.2053886925795053,40,[256],0.5,0.5,"[2000.0, 4000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.0017,  0.4828])","tensor([34.4084,  0.5057])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_14,100364571,50
41,0.16000490436488474,0.14885159010600707,32,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,5.960464477539063e-08,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.8304,  0.2717])","tensor([20.9104,  0.3078])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_41,100364571,50
47,0.14541441883276116,0.14840989399293286,37,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([50.6396,  0.2888])","tensor([30.6937,  0.3381])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_47,100364571,50
28,0.15117704757233938,0.18860424028268552,49,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.7930,  0.4955])","tensor([20.8046,  0.6339])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_28,100364571,50
26,0.1460274644433546,0.22393992932862192,32,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",3.814697265625e-06,3.725290298461914e-09,1.0,1.0,0.015625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.5439,  0.4950])","tensor([22.6838,  0.6017])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_bad/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_bad_26,100364571,50
