id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
262,0.12126042177538009,0.14487632508833923,37,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",9.5367431640625e-07,2.3283064365386963e-10,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([93.9643,  0.2661])","tensor([64.9198,  0.3228])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_262,100364571,50
253,0.17594409024031388,0.1607773851590106,38,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,1.0,1.0,0.000244140625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([16.1483,  0.4319])","tensor([19.5949,  0.2088])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_253,100364571,50
304,0.1356056890632663,0.1603356890459364,41,[256],0.5,0.5,"[16000.0, 32000.0]","[1000.0, 2000.0]",9.5367431640625e-07,1.4551915228366852e-11,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([93.3234,  0.2931])","tensor([72.9415,  0.3244])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_304,100364571,50
243,0.1920058852378617,0.14620141342756185,49,[256],0.5,0.5,"[16000.0, 32000.0]","[250.0, 500.0]",3.814697265625e-06,2.3283064365386963e-10,0.25,1.0,0.000244140625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([45.1394,  0.3992])","tensor([40.4521,  0.3500])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_243,100364571,50
165,0.19298675821481118,0.12765017667844522,41,[256],0.5,0.5,"[8000.0, 8000.0]","[1000.0, 2000.0]",3.814697265625e-06,1.4551915228366852e-11,0.25,1.0,0.000244140625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.7261,  0.4218])","tensor([42.2739,  0.1636])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_165,100364571,50
110,0.14970573810691515,0.17623674911660778,27,[256],0.5,0.5,"[2000.0, 4000.0]","[2000.0, 4000.0]",9.5367431640625e-07,9.313225746154785e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([56.2847,  0.4227])","tensor([42.7320,  0.5650])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_110,100364571,50
54,0.19580676802354094,0.18021201413427562,45,[256],0.5,0.5,"[2000.0, 4000.0]","[1000.0, 2000.0]",3.814697265625e-06,1.4551915228366852e-11,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([49.8170,  0.4758])","tensor([35.4512,  0.5368])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_54,100364571,50
210,0.19923982344286414,0.19257950530035337,46,[256],0.5,0.5,"[8000.0, 8000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,1.0,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([2.2720, 0.4881])","tensor([2.4187, 0.6565])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_210,100364571,50
313,0.1371996076508092,0.16166077738515902,49,[256],0.5,0.5,"[16000.0, 32000.0]","[1000.0, 2000.0]",9.5367431640625e-07,2.3283064365386963e-10,1.0,1.0,0.000244140625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([91.5012,  0.3391])","tensor([88.7923,  0.4265])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_313,100364571,50
166,0.20034330554193233,0.17402826855123674,48,[256],0.5,0.5,"[8000.0, 8000.0]","[1000.0, 2000.0]",3.814697265625e-06,3.637978807091713e-12,0.25,1.0,0.00390625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([61.6965,  0.4257])","tensor([44.8781,  0.4030])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_166,100364571,50
321,0.16159882295242767,0.14840989399293286,46,[256],0.5,0.5,"[16000.0, 32000.0]","[2000.0, 4000.0]",3.814697265625e-06,9.313225746154785e-10,0.25,1.0,0.000244140625,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([2.6979, 0.4063])","tensor([2.6479, 0.2847])","tensor([nan, nan])",128,256,0,0,grid_search_shd_rsnn_int_v1/shd_biograd_rec_1_layers_int_16_16_8_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_int_v1_321,100364571,50
