id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,lr_scheduler,gradient_clip,fw_factor,rec_factor,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
8,0.6384256988719961,0.625,27,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.9456,  5.6181])","tensor([28.5552,  5.8604])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_8,100364571,50
52,0.6858754291319274,0.6192579505300353,28,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",0.000244140625,0,0.5,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.5418,  6.1587])","tensor([38.7947,  6.6393])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_52,100364571,50
103,0.6281265326140265,0.627208480565371,42,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,decay,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.4865,  5.6754])","tensor([28.4462,  6.1384])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_103,100364571,50
123,0.5991907797940167,0.6051236749116607,47,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",0.000244140625,0,0.5,cosine,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([44.1634,  5.9501])","tensor([44.7673,  6.2668])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_123,100364571,50
143,0.6288621873467386,0.5843639575971732,48,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,0.5,cosine,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([44.1992,  5.8256])","tensor([44.5329,  6.2631])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_143,100364571,50
73,0.6817067189798921,0.6735865724381626,48,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.6602,  5.6674])","tensor([30.4982,  6.0954])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_73,100364571,50
101,0.6257969592937714,0.6333922261484098,36,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,none,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.2212,  5.6726])","tensor([26.6690,  6.1117])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_101,100364571,50
81,0.6514222658165768,0.6612190812720848,37,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,none,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.6617,  5.5580])","tensor([30.0041,  6.2079])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_81,100364571,50
88,0.6552231486022561,0.6457597173144877,36,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([27.8680,  5.6410])","tensor([28.4861,  5.9936])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_88,100364571,50
14,0.5836194212849436,0.6104240282685512,13,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,decay,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([21.9703,  5.4659])","tensor([23.7479,  6.0523])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_14,100364571,50
68,0.6820745463462482,0.6638692579505301,22,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,0.5,decay,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.7576,  6.0076])","tensor([30.7218,  6.1398])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_68,100364571,50
128,0.6504413928396273,0.6174911660777385,47,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,2.0,none,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.5057,  5.3977])","tensor([40.9192,  5.7535])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_128,100364571,50
131,0.6802354095144679,0.6108657243816255,34,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,2.0,decay,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.8578,  5.5867])","tensor([38.2141,  6.0504])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_131,100364571,50
5,0.662211868563021,0.6426678445229682,36,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.7302,  5.6499])","tensor([29.9223,  6.1269])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_5,100364571,50
34,0.5707454634624816,0.5976148409893993,30,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,cosine,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.1980,  5.5400])","tensor([29.0611,  5.9232])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_34,100364571,50
27,0.6449239823442864,0.6576855123674912,47,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,none,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.9063,  5.6379])","tensor([31.5939,  6.1363])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_27,100364571,50
138,0.5510053948013732,0.5216431095406361,31,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,0.5,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([38.5978,  5.9574])","tensor([38.8795,  6.0942])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_138,100364571,50
58,0.6576753310446297,0.6046819787985865,34,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,2.0,decay,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.3654,  5.7698])","tensor([43.7752,  5.7241])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_58,100364571,50
30,0.6131682197155468,0.5901060070671378,47,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.0859,  5.6046])","tensor([30.5636,  5.7553])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_30,100364571,50
77,0.5969838155958803,0.6002650176678446,34,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,decay,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([25.9218,  5.6224])","tensor([27.0937,  6.0687])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_77,100364571,50
96,0.622854340362923,0.6373674911660777,47,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,2.0,cosine,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.7227,  5.5585])","tensor([30.1081,  6.1307])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_96,100364571,50
127,0.6192986758214811,0.5936395759717314,38,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,2.0,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.9303,  5.7369])","tensor([43.1935,  6.6329])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_127,100364571,50
55,0.4830799411476214,0.5609540636042403,13,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,2.0,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.8339,  5.8860])","tensor([31.0775,  6.3358])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_55,100364571,50
31,0.5354340362923001,0.5746466431095406,16,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0,0.5,decay,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.6643,  5.5256])","tensor([27.2795,  5.9727])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_31,100364571,50
53,0.6568170671897989,0.6413427561837456,48,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",0.000244140625,0,0.5,cosine,512,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([40.9365,  5.6135])","tensor([41.2557,  5.8649])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_53,100364571,50
6,0.6120647376164786,0.6311837455830389,31,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,2.0,cosine,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.1311,  5.4623])","tensor([32.2812,  5.8008])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_6,100364571,50
129,0.6780284453163316,0.6046819787985865,30,[256],"('random', [-1, 2])",128,16,16,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",6.103515625e-05,0,2.0,decay,128,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.6505,  5.5939])","tensor([38.2779,  6.0047])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_16_7_100364571_exp_id_129,100364571,50
10,0.613903874448259,0.6316254416961131,17,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0,0.5,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([26.6528,  5.5157])","tensor([26.5691,  5.4887])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_10,100364571,50
46,0.4982834722903384,0.5918727915194346,11,[256],"('random', [-1, 2])",128,16,12,7,15,0.5,0.5,"[200.0, 400.0]","[160.0, 160.0]",0.000244140625,0,0.5,none,256,1.0,1.0,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.2140,  6.1498])","tensor([30.8961,  6.7630])","tensor([nan, nan])",128,256,0,0,shd_biograd_rsnn_1_layers_int_16_12_7_100364571_exp_id_46,100364571,50
