id,train_acc,val_acc,best_epoch,Neurons,vdecay,vedecay_rec,hidden_layer,out_layer,lr_hidden,lr_hidden_rec,lr_output,data_params,train_activations,val_activations,train_activations_fb,fb_angle,fb_ratio,session_name,seed,epochs
11,0.7621383030897498,0.644434628975265,26,[256],0.5,0.5,"[2.0, 4.0]","[1.0, 2.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.9280, 23.9641])","tensor([37.9632, 24.1801])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_11,100364571,50
52,0.6948258950465914,0.6254416961130742,13,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.003,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.7186, 12.6024])","tensor([28.3703, 13.2740])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_52,100364571,50
59,0.8317802844531633,0.6903710247349824,22,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 2.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.3923, 21.6668])","tensor([34.4091, 22.0611])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_59,100364571,50
47,0.7940166748406081,0.6696113074204947,32,[256],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.5585, 23.1849])","tensor([33.8342, 23.8004])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_47,100364571,50
75,0.5052721922511035,0.558303886925795,4,[512],0.5,0.5,"[3.0, 6.0]","[1.0, 1.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([21.8819, 12.0393])","tensor([21.9162, 12.9546])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_75,100364571,50
55,0.5890142226581657,0.5984982332155477,8,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 2.0]",0.01,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.5841, 16.6832])","tensor([28.3780, 17.2475])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_55,100364571,50
5,0.8271211378126533,0.713339222614841,38,[256],0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([36.7960, 21.2759])","tensor([36.8848, 21.4710])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_5,100364571,50
68,0.8244237371260422,0.7124558303886925,22,[512],0.5,0.5,"[3.0, 3.0]","[1.0, 2.0]",0.01,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.5436, 23.7595])","tensor([33.4272, 24.1848])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_68,100364571,50
21,0.4345267287886218,0.398851590106007,3,[256],0.5,0.5,"[3.0, 3.0]","[1.0, 2.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([19.8749, 19.0664])","tensor([20.1605, 21.0491])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_21,100364571,50
14,0.7929131927415399,0.7058303886925795,27,[256],0.5,0.5,"[3.0, 3.0]","[1.0, 1.0]",0.01,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([37.1822, 22.5540])","tensor([37.1957, 23.1613])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_14,100364571,50
83,0.8050514958312899,0.6934628975265018,21,[512],0.5,0.5,"[3.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([32.7127, 22.7322])","tensor([32.7992, 23.1351])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_83,100364571,50
46,0.6308239333006376,0.598939929328622,9,[256],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.003,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([25.8489, 26.0326])","tensor([26.0752, 26.2005])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_46,100364571,50
90,0.40951446787641,0.4266784452296819,4,[512],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.01,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([22.8031, 13.3820])","tensor([23.8679, 13.7309])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_90,100364571,50
91,0.5586071603727317,0.5269434628975265,7,[512],0.5,0.5,"[6.0, 6.0]","[1.0, 2.0]",0.01,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([24.3569, 18.6022])","tensor([24.4460, 19.7789])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_91,100364571,50
19,0.5442618930848455,0.5569787985865724,8,[256],0.5,0.5,"[3.0, 3.0]","[1.0, 2.0]",0.01,0.1,0.01,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.4239, 25.5498])","tensor([28.2629, 24.5867])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_19,100364571,50
51,0.5126287395782246,0.5220848056537103,4,[512],0.5,0.5,"[2.0, 4.0]","[1.0, 1.0]",0.003,0.1,0.03,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([23.4555, 10.9647])","tensor([23.0953, 11.3145])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_51,100364571,50
89,0.8924717999019127,0.7296819787985865,44,[512],0.5,0.5,"[6.0, 6.0]","[1.0, 1.0]",0.003,0.1,0.003,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.4039, 16.8496])","tensor([29.8228, 16.8869])","tensor([nan, nan])",0,0,grid_search_shd_rsnn_v3_neurons/shd_biograd_rec_1_layers_float_transposed_loss_direct_frames_10_time_100364571_exp_shd_rsnn_v3_neurons_89,100364571,50
