id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
25,0.5274644433545855,0.48542402826855124,47,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.2, 0.4]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([17.8102,  7.6735])","tensor([18.0314,  7.8696])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_712492346_exp_id_25,712492346,50
0,0.6989946051986268,0.5817137809187279,48,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.2, 0.4]",0.001,0.001,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([19.9792, 16.0537])","tensor([19.9466, 16.1256])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_100364571_exp_id_0,100364571,50
9,0.2522069641981363,0.267226148409894,41,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.2, 0.4]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([29.7364,  2.3195])","tensor([30.5416,  2.4506])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_702546693_exp_id_9,702546693,50
64,0.6978911230995586,0.5569787985865724,45,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.2, 0.4]",0.001,0.001,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.1821, 18.2558])","tensor([19.8918, 19.1094])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_980342676_exp_id_64,980342676,50
65,0.3402403138793526,0.35600706713780916,49,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.2, 0.4]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([28.2014,  3.9178])","tensor([28.3732,  4.2315])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_980342676_exp_id_65,980342676,50
41,0.25367827366356055,0.2915194346289753,43,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.2, 0.4]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([34.4231,  2.5634])","tensor([34.7906,  2.3594])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_431267089_exp_id_41,431267089,50
68,0.6731240804315841,0.5401943462897526,48,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.6]","[0.2, 0.4]",0.001,0.001,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([19.7484, 16.8452])","tensor([19.6764, 16.6809])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_980342676_exp_id_68,980342676,50
77,0.6672388425698872,0.5507950530035336,49,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.6]","[0.2, 0.4]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([14.2604, 11.8861])","tensor([14.2159, 10.1161])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_416302576_exp_id_77,416302576,50
27,0.679377145659637,0.5658127208480566,47,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([18.2318, 15.2849])","tensor([18.2818, 15.1139])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_712492346_exp_id_27,712492346,50
12,0.7056154977930358,0.5671378091872792,49,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.6]","[0.2, 0.4]",0.001,0.001,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([16.7966, 17.1532])","tensor([16.6374, 17.4401])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_702546693_exp_id_12,702546693,50
19,0.5880333496812162,0.5141342756183745,45,[256],"('normal', None)",128,16,16,8,16,1.0,"[0.3, 0.3]","[0.3, 0.6]",0.001,0.003,none,0,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([17.9471,  8.0098])","tensor([18.2057,  7.5484])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_float_transposed_loss_direct_210342476_exp_id_19,210342476,50
