id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
3,0.4526728788621873,0.4200530035335689,48,[256],"('random', (-1, 2))",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.3533, 5.2372])","tensor([5.8731, 4.4257])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_3,100364571,50
46,0.39492398234428644,0.4293286219081272,34,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,2048,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([17.2125,  4.7003])","tensor([16.1319,  4.9510])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_46,100364571,50
25,0.581902893575282,0.5569787985865724,28,[256],"('random', (-1, 2))",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([33.1164,  5.7774])","tensor([33.8265,  5.9473])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_25,100364571,50
32,0.3959048553212359,0.4739399293286219,43,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([13.9108,  4.3745])","tensor([13.4786,  5.4130])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_32,100364571,50
21,0.3499264345267288,0.38515901060070673,14,[256],"('random', (-1, 2))",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([4.6075, 5.2281])","tensor([3.5785, 7.2689])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_21,100364571,50
41,0.5145904855321236,0.5247349823321554,28,[256],"('random', (-1, 2))",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,512,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.0714,  5.5372])","tensor([30.2577,  5.9100])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_41,100364571,50
34,0.39897008337420303,0.4673144876325088,43,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,2048,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([17.4177,  4.5680])","tensor([16.2292,  5.2357])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_34,100364571,50
10,0.3545855811672388,0.38560070671378094,18,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,2048,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([5.1997, 5.1946])","tensor([4.0948, 5.8913])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_10,100364571,50
40,0.5199852869053457,0.5123674911660777,34,[256],"('normal', None)",128,16,16,12,20,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",6.103515625e-05,0.5,none,512,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([30.3606,  5.6300])","tensor([30.1982,  5.5870])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_40,100364571,50
9,0.34747425208435506,0.3745583038869258,19,[256],"('random', (-1, 2))",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.5087, 5.1990])","tensor([5.7334, 6.9151])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_9,100364571,50
0,0.446174595389897,0.41431095406360424,45,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,128,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([6.1545, 5.2879])","tensor([7.4044, 4.9693])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_0,100364571,50
6,0.4131927415399706,0.4134275618374558,27,[256],"('normal', None)",128,16,16,12,16,1.0,"[2000.0, 4000.0]","[1600.0, 1600.0]",0.000244140625,0.5,none,512,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([9.0927, 5.4466])","tensor([10.6248,  4.7721])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_6,100364571,50
