id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
49,0.31007846983815596,0.303886925795053,42,[256],"('normal', None)",128,16,16,12,20,0.5,"[32000.0, 64000.0]","[25600.0, 25600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([14.7605,  5.4632])","tensor([16.7007,  6.3157])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_49,100364571,50
3,0.3610838646395292,0.43109540636042404,27,[256],"('normal', None)",128,16,16,12,20,1.0,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.5,none,2048,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([10.2708,  5.4009])","tensor([8.8068, 7.5640])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_3,100364571,50
111,0.44102501226091223,0.4500883392226148,44,[256],"('normal', None)",128,16,16,12,24,0.5,"[24000.0, 48000.0]","[19200.0, 19200.0]",6.103515625e-05,0.125,none,2048,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([31.7892,  6.0874])","tensor([31.9725,  6.0464])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_111,100364571,50
46,0.3039480137322217,0.31051236749116606,44,[256],"('normal', None)",128,16,16,12,20,0.5,"[24000.0, 48000.0]","[19200.0, 19200.0]",6.103515625e-05,0.125,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.5692,  5.5876])","tensor([22.1547,  7.1669])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_46,100364571,50
25,0.4011770475723394,0.41828621908127206,26,[256],"('normal', None)",128,16,16,12,20,1.0,"[32000.0, 64000.0]","[25600.0, 25600.0]",6.103515625e-05,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([13.6015,  5.4638])","tensor([15.3853,  5.9542])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_25,100364571,50
32,0.36512996566944583,0.32685512367491165,42,[256],"('normal', None)",128,16,16,12,20,0.5,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.5,none,128,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.5673,  5.8309])","tensor([22.8933,  6.6382])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_32,100364571,50
21,0.4085335948994605,0.4209363957597173,26,[256],"('normal', None)",128,16,16,12,20,1.0,"[32000.0, 64000.0]","[25600.0, 25600.0]",0.000244140625,0.125,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([12.7908,  5.5742])","tensor([14.4215,  6.1414])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_21,100364571,50
41,0.3686856302108877,0.32685512367491165,43,[256],"('normal', None)",128,16,16,12,20,0.5,"[24000.0, 48000.0]","[19200.0, 19200.0]",6.103515625e-05,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([20.6244,  5.8765])","tensor([22.8635,  6.5983])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_41,100364571,50
34,0.28016184404119665,0.3290636042402827,27,[256],"('normal', None)",128,16,16,12,20,0.5,"[24000.0, 48000.0]","[19200.0, 19200.0]",0.000244140625,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([13.6769,  5.4399])","tensor([16.2863,  6.7737])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_34,100364571,50
10,0.3336194212849436,0.41828621908127206,7,[256],"('normal', None)",128,16,16,12,20,1.0,"[24000.0, 48000.0]","[19200.0, 19200.0]",6.103515625e-05,0.5,none,2048,False,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([9.7068, 5.3980])","tensor([7.4667, 7.5860])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_12_transposed_loss_direct_100364571_exp_id_10,100364571,50
