id,train_acc,val_acc,best_epoch,Neurons,loss_function,loss_precision,num_bits,weight_init_bits,low_precision_weights,activation_bits,vdecay,hidden_layer,out_layer,lr_hidden,lr_output,lr_scheduler,gradient_clip,weight_decay,data_params,train_activations,val_activations,train_activations_fb,train_batch_size,test_batch_size,fb_angle,fb_ratio,session_name,seed,epochs
32,0.6645414418832761,0.6466431095406361,42,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.7010,  6.3531])","tensor([47.7749,  6.3005])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_980342676_exp_id_32,980342676,50
33,0.6633153506620892,0.6254416961130742,46,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.0056,  6.4516])","tensor([47.7580,  6.5373])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_980342676_exp_id_33,980342676,50
35,0.6631927415399705,0.6342756183745583,46,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([47.0215,  6.3696])","tensor([47.7290,  6.5417])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_980342676_exp_id_35,980342676,50
27,0.6758214811181952,0.6214664310954063,38,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.8617,  6.3948])","tensor([43.5239,  6.6753])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_613427981_exp_id_27,613427981,50
6,0.6823197645904855,0.6135159010600707,36,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([41.0809,  6.2931])","tensor([42.1052,  6.8480])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_702546693_exp_id_6,702546693,50
1,0.6679744973025993,0.622791519434629,47,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.0437,  6.3763])","tensor([44.1507,  6.5972])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_1,100364571,50
3,0.6792545365375184,0.6258833922261484,45,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([42.1033,  6.4389])","tensor([43.0691,  6.5261])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_100364571_exp_id_3,100364571,50
28,0.6701814615007357,0.6148409893992933,47,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.5,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([46.2671,  6.3678])","tensor([47.3664,  6.4839])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_301420567_exp_id_28,301420567,50
31,0.6674840608141246,0.6214664310954063,36,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",3.0517578125e-05,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([43.6000,  6.3778])","tensor([44.5875,  6.6354])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_301420567_exp_id_31,301420567,50
25,0.6689553702795488,0.622791519434629,41,[256],"('normal', None)",128,16,16,16,32,1.0,"[512000.0, 1024000.0]","[409600.0, 409600.0]",0.000244140625,0.0625,none,128,True,"{'data_type': 'frame', 'duration': None, 'n_bins': 4, 'frames': 10, 'split_by': 'time'}","tensor([44.2220,  6.3919])","tensor([45.0551,  6.9341])","tensor([nan, nan])",128,256,0,0,shd_biograd_snn_1_layers_int_16_16_16_transposed_loss_direct_613427981_exp_id_25,613427981,50
